Laikotarpis;Rodiklis;Administracinė teritorija;Matavimo vienetai;Reikšmė
1999;Neto migracija;Kauno m. sav.;asmenys;-5128
2000;Neto migracija;Kauno m. sav.;asmenys;-5377
2001;Neto migracija;Kauno m. sav.;asmenys;-4608
2002;Neto migracija;Kauno m. sav.;asmenys;-3008
2003;Neto migracija;Kauno m. sav.;asmenys;-5361
2004;Neto migracija;Kauno m. sav.;asmenys;-6065
2005;Neto migracija;Kauno m. sav.;asmenys;-7465
2006;Neto migracija;Kauno m. sav.;asmenys;-3362
2007;Neto migracija;Kauno m. sav.;asmenys;-3335
2008;Neto migracija;Kauno m. sav.;asmenys;-3340
2009;Neto migracija;Kauno m. sav.;asmenys;-5282
2010;Neto migracija;Kauno m. sav.;asmenys;-11581
2011;Neto migracija;Kauno m. sav.;asmenys;-5815
2012;Neto migracija;Kauno m. sav.;asmenys;-3047
2013;Neto migracija;Kauno m. sav.;asmenys;-2002
2014;Neto migracija;Kauno m. sav.;asmenys;-1958
2015;Neto migracija;Kauno m. sav.;asmenys;-2541
2016;Neto migracija;Kauno m. sav.;asmenys;-4290
2017;Neto migracija;Kauno m. sav.;asmenys;-3330
2018;Neto migracija;Kauno m. sav.;asmenys;-534
1990;Neto migracija;Kauno r. sav.;asmenys;
1991;Neto migracija;Kauno r. sav.;asmenys;
1992;Neto migracija;Kauno r. sav.;asmenys;
1993;Neto migracija;Kauno r. sav.;asmenys;
1994;Neto migracija;Kauno r. sav.;asmenys;761
1995;Neto migracija;Kauno r. sav.;asmenys;884
1996;Neto migracija;Kauno r. sav.;asmenys;1023
1997;Neto migracija;Kauno r. sav.;asmenys;938
1998;Neto migracija;Kauno r. sav.;asmenys;451
1999;Neto migracija;Kauno r. sav.;asmenys;492
2000;Neto migracija;Kauno r. sav.;asmenys;363
2001;Neto migracija;Kauno r. sav.;asmenys;327
2002;Neto migracija;Kauno r. sav.;asmenys;501
2003;Neto migracija;Kauno r. sav.;asmenys;1069
2004;Neto migracija;Kauno r. sav.;asmenys;240
2005;Neto migracija;Kauno r. sav.;asmenys;70
2006;Neto migracija;Kauno r. sav.;asmenys;411
2007;Neto migracija;Kauno r. sav.;asmenys;774
2008;Neto migracija;Kauno r. sav.;asmenys;1891
2009;Neto migracija;Kauno r. sav.;asmenys;1167
2010;Neto migracija;Kauno r. sav.;asmenys;-1102
2011;Neto migracija;Kauno r. sav.;asmenys;210
2012;Neto migracija;Kauno r. sav.;asmenys;316
2013;Neto migracija;Kauno r. sav.;asmenys;726
2014;Neto migracija;Kauno r. sav.;asmenys;1285
2015;Neto migracija;Kauno r. sav.;asmenys;1133
2016;Neto migracija;Kauno r. sav.;asmenys;1531
2017;Neto migracija;Kauno r. sav.;asmenys;1584
2018;Neto migracija;Kauno r. sav.;asmenys;2242
1990;Neto migracija;Kėdainių r. sav.;asmenys;
1991;Neto migracija;Kėdainių r. sav.;asmenys;
1992;Neto migracija;Kėdainių r. sav.;asmenys;
1993;Neto migracija;Kėdainių r. sav.;asmenys;
1994;Neto migracija;Kėdainių r. sav.;asmenys;-75
1995;Neto migracija;Kėdainių r. sav.;asmenys;-282
1996;Neto migracija;Kėdainių r. sav.;asmenys;-472
1997;Neto migracija;Kėdainių r. sav.;asmenys;-173
1998;Neto migracija;Kėdainių r. sav.;asmenys;-240
1999;Neto migracija;Kėdainių r. sav.;asmenys;-377
2000;Neto migracija;Kėdainių r. sav.;asmenys;-294
2001;Neto migracija;Kėdainių r. sav.;asmenys;-406
2002;Neto migracija;Kėdainių r. sav.;asmenys;-276
2003;Neto migracija;Kėdainių r. sav.;asmenys;-606
2004;Neto migracija;Kėdainių r. sav.;asmenys;-894
2005;Neto migracija;Kėdainių r. sav.;asmenys;-1836
2006;Neto migracija;Kėdainių r. sav.;asmenys;-757
2007;Neto migracija;Kėdainių r. sav.;asmenys;-670
2008;Neto migracija;Kėdainių r. sav.;asmenys;-475
2009;Neto migracija;Kėdainių r. sav.;asmenys;-1056
2010;Neto migracija;Kėdainių r. sav.;asmenys;-1418
2011;Neto migracija;Kėdainių r. sav.;asmenys;-1072
2012;Neto migracija;Kėdainių r. sav.;asmenys;-682
2013;Neto migracija;Kėdainių r. sav.;asmenys;-765
2014;Neto migracija;Kėdainių r. sav.;asmenys;-585
2015;Neto migracija;Kėdainių r. sav.;asmenys;-533
2016;Neto migracija;Kėdainių r. sav.;asmenys;-866
2017;Neto migracija;Kėdainių r. sav.;asmenys;-856
2018;Neto migracija;Kėdainių r. sav.;asmenys;-359
1990;Neto migracija;Prienų r. sav.;asmenys;
1991;Neto migracija;Prienų r. sav.;asmenys;
1992;Neto migracija;Prienų r. sav.;asmenys;
1993;Neto migracija;Prienų r. sav.;asmenys;
1994;Neto migracija;Prienų r. sav.;asmenys;126
1995;Neto migracija;Prienų r. sav.;asmenys;38
1996;Neto migracija;Prienų r. sav.;asmenys;17
1997;Neto migracija;Prienų r. sav.;asmenys;208
1998;Neto migracija;Prienų r. sav.;asmenys;81
1999;Neto migracija;Prienų r. sav.;asmenys;82
2000;Neto migracija;Prienų r. sav.;asmenys;133
2001;Neto migracija;Prienų r. sav.;asmenys;-139
2002;Neto migracija;Prienų r. sav.;asmenys;-88
2003;Neto migracija;Prienų r. sav.;asmenys;-314
2004;Neto migracija;Prienų r. sav.;asmenys;-279
2005;Neto migracija;Prienų r. sav.;asmenys;-423
2006;Neto migracija;Prienų r. sav.;asmenys;-270
2007;Neto migracija;Prienų r. sav.;asmenys;-210
2008;Neto migracija;Prienų r. sav.;asmenys;-37
2009;Neto migracija;Prienų r. sav.;asmenys;-213
2010;Neto migracija;Prienų r. sav.;asmenys;-720
2011;Neto migracija;Prienų r. sav.;asmenys;-303
2012;Neto migracija;Prienų r. sav.;asmenys;-99
2013;Neto migracija;Prienų r. sav.;asmenys;-205
2014;Neto migracija;Prienų r. sav.;asmenys;-116
2015;Neto migracija;Prienų r. sav.;asmenys;-230
2016;Neto migracija;Prienų r. sav.;asmenys;-306
2017;Neto migracija;Prienų r. sav.;asmenys;-355
2018;Neto migracija;Prienų r. sav.;asmenys;-81
1990;Neto migracija;Raseinių r. sav.;asmenys;
1991;Neto migracija;Raseinių r. sav.;asmenys;
1992;Neto migracija;Raseinių r. sav.;asmenys;
1993;Neto migracija;Raseinių r. sav.;asmenys;
1994;Neto migracija;Raseinių r. sav.;asmenys;-1
1995;Neto migracija;Raseinių r. sav.;asmenys;-60
1996;Neto migracija;Raseinių r. sav.;asmenys;-154
1997;Neto migracija;Raseinių r. sav.;asmenys;-151
1998;Neto migracija;Raseinių r. sav.;asmenys;-103
1999;Neto migracija;Raseinių r. sav.;asmenys;-106
2000;Neto migracija;Raseinių r. sav.;asmenys;-187
2001;Neto migracija;Raseinių r. sav.;asmenys;-140
2002;Neto migracija;Raseinių r. sav.;asmenys;-191
2003;Neto migracija;Raseinių r. sav.;asmenys;-212
2004;Neto migracija;Raseinių r. sav.;asmenys;-437
2005;Neto migracija;Raseinių r. sav.;asmenys;-470
2006;Neto migracija;Raseinių r. sav.;asmenys;-254
2007;Neto migracija;Raseinių r. sav.;asmenys;-295
2008;Neto migracija;Raseinių r. sav.;asmenys;-438
2009;Neto migracija;Raseinių r. sav.;asmenys;-541
2010;Neto migracija;Raseinių r. sav.;asmenys;-866
2011;Neto migracija;Raseinių r. sav.;asmenys;-518
2012;Neto migracija;Raseinių r. sav.;asmenys;-526
2013;Neto migracija;Raseinių r. sav.;asmenys;-310
2014;Neto migracija;Raseinių r. sav.;asmenys;-289
2015;Neto migracija;Raseinių r. sav.;asmenys;-390
2016;Neto migracija;Raseinių r. sav.;asmenys;-511
2017;Neto migracija;Raseinių r. sav.;asmenys;-658
2018;Neto migracija;Raseinių r. sav.;asmenys;-335
1990;Neto migracija;Klaipėdos m. sav.;asmenys;
1991;Neto migracija;Klaipėdos m. sav.;asmenys;
1992;Neto migracija;Klaipėdos m. sav.;asmenys;
1993;Neto migracija;Klaipėdos m. sav.;asmenys;
1994;Neto migracija;Klaipėdos m. sav.;asmenys;-1702
1995;Neto migracija;Klaipėdos m. sav.;asmenys;-2179
1996;Neto migracija;Klaipėdos m. sav.;asmenys;-2996
1997;Neto migracija;Klaipėdos m. sav.;asmenys;-2076
1998;Neto migracija;Klaipėdos m. sav.;asmenys;-967
1999;Neto migracija;Klaipėdos m. sav.;asmenys;-1043
2000;Neto migracija;Klaipėdos m. sav.;asmenys;-1444
2001;Neto migracija;Klaipėdos m. sav.;asmenys;-2125
2002;Neto migracija;Klaipėdos m. sav.;asmenys;-1094
2003;Neto migracija;Klaipėdos m. sav.;asmenys;-2416
2004;Neto migracija;Klaipėdos m. sav.;asmenys;-2888
2005;Neto migracija;Klaipėdos m. sav.;asmenys;-4861
2006;Neto migracija;Klaipėdos m. sav.;asmenys;-2561
2007;Neto migracija;Klaipėdos m. sav.;asmenys;-2311
2008;Neto migracija;Klaipėdos m. sav.;asmenys;-1713
2009;Neto migracija;Klaipėdos m. sav.;asmenys;-2531
2010;Neto migracija;Klaipėdos m. sav.;asmenys;-5078
2011;Neto migracija;Klaipėdos m. sav.;asmenys;-2498
2012;Neto migracija;Klaipėdos m. sav.;asmenys;-1432
2013;Neto migracija;Klaipėdos m. sav.;asmenys;-953
2014;Neto migracija;Klaipėdos m. sav.;asmenys;-1017
2015;Neto migracija;Klaipėdos m. sav.;asmenys;-1642
2016;Neto migracija;Klaipėdos m. sav.;asmenys;-2712
2017;Neto migracija;Klaipėdos m. sav.;asmenys;-2078
2018;Neto migracija;Klaipėdos m. sav.;asmenys;-756
1990;Neto migracija;Klaipėdos r. sav.;asmenys;
1991;Neto migracija;Klaipėdos r. sav.;asmenys;
1992;Neto migracija;Klaipėdos r. sav.;asmenys;
1993;Neto migracija;Klaipėdos r. sav.;asmenys;
1994;Neto migracija;Klaipėdos r. sav.;asmenys;293
1995;Neto migracija;Klaipėdos r. sav.;asmenys;570
1996;Neto migracija;Klaipėdos r. sav.;asmenys;803
1997;Neto migracija;Klaipėdos r. sav.;asmenys;535
1998;Neto migracija;Klaipėdos r. sav.;asmenys;-133
1999;Neto migracija;Klaipėdos r. sav.;asmenys;-111
2000;Neto migracija;Klaipėdos r. sav.;asmenys;180
2001;Neto migracija;Klaipėdos r. sav.;asmenys;258
2002;Neto migracija;Klaipėdos r. sav.;asmenys;219
2003;Neto migracija;Klaipėdos r. sav.;asmenys;850
2004;Neto migracija;Klaipėdos r. sav.;asmenys;793
2005;Neto migracija;Klaipėdos r. sav.;asmenys;520
2006;Neto migracija;Klaipėdos r. sav.;asmenys;921
2007;Neto migracija;Klaipėdos r. sav.;asmenys;1213
2008;Neto migracija;Klaipėdos r. sav.;asmenys;1179
2009;Neto migracija;Klaipėdos r. sav.;asmenys;131
2010;Neto migracija;Klaipėdos r. sav.;asmenys;-565
2011;Neto migracija;Klaipėdos r. sav.;asmenys;177
2012;Neto migracija;Klaipėdos r. sav.;asmenys;277
2013;Neto migracija;Klaipėdos r. sav.;asmenys;471
2014;Neto migracija;Klaipėdos r. sav.;asmenys;734
2015;Neto migracija;Klaipėdos r. sav.;asmenys;614
2016;Neto migracija;Klaipėdos r. sav.;asmenys;1181
2017;Neto migracija;Klaipėdos r. sav.;asmenys;1476
2018;Neto migracija;Klaipėdos r. sav.;asmenys;2249
1990;Neto migracija;Kretingos r. sav.;asmenys;
1991;Neto migracija;Kretingos r. sav.;asmenys;
1992;Neto migracija;Kretingos r. sav.;asmenys;
1993;Neto migracija;Kretingos r. sav.;asmenys;
1994;Neto migracija;Kretingos r. sav.;asmenys;28
1995;Neto migracija;Kretingos r. sav.;asmenys;302
1996;Neto migracija;Kretingos r. sav.;asmenys;459
1997;Neto migracija;Kretingos r. sav.;asmenys;433
1998;Neto migracija;Kretingos r. sav.;asmenys;158
1999;Neto migracija;Kretingos r. sav.;asmenys;197
2000;Neto migracija;Kretingos r. sav.;asmenys;86
2001;Neto migracija;Kretingos r. sav.;asmenys;-165
2002;Neto migracija;Kretingos r. sav.;asmenys;90
2003;Neto migracija;Kretingos r. sav.;asmenys;96
2004;Neto migracija;Kretingos r. sav.;asmenys;-197
2005;Neto migracija;Kretingos r. sav.;asmenys;-514
2006;Neto migracija;Kretingos r. sav.;asmenys;-77
2007;Neto migracija;Kretingos r. sav.;asmenys;-222
2008;Neto migracija;Kretingos r. sav.;asmenys;-71
2009;Neto migracija;Kretingos r. sav.;asmenys;-821
2010;Neto migracija;Kretingos r. sav.;asmenys;-1024
2011;Neto migracija;Kretingos r. sav.;asmenys;-456
2012;Neto migracija;Kretingos r. sav.;asmenys;-230
2013;Neto migracija;Kretingos r. sav.;asmenys;-359
2014;Neto migracija;Kretingos r. sav.;asmenys;-273
2015;Neto migracija;Kretingos r. sav.;asmenys;-500
2016;Neto migracija;Kretingos r. sav.;asmenys;-394
2017;Neto migracija;Kretingos r. sav.;asmenys;-487
2018;Neto migracija;Kretingos r. sav.;asmenys;-241
1990;Neto migracija;Neringos sav.;asmenys;
1991;Neto migracija;Neringos sav.;asmenys;
1992;Neto migracija;Neringos sav.;asmenys;
1993;Neto migracija;Neringos sav.;asmenys;
1994;Neto migracija;Neringos sav.;asmenys;-46
1995;Neto migracija;Neringos sav.;asmenys;-114
1996;Neto migracija;Neringos sav.;asmenys;-31
1997;Neto migracija;Neringos sav.;asmenys;-52
1998;Neto migracija;Neringos sav.;asmenys;-32
1999;Neto migracija;Neringos sav.;asmenys;15
2000;Neto migracija;Neringos sav.;asmenys;37
2001;Neto migracija;Neringos sav.;asmenys;-174
2002;Neto migracija;Neringos sav.;asmenys;-39
2003;Neto migracija;Neringos sav.;asmenys;84
2004;Neto migracija;Neringos sav.;asmenys;62
2005;Neto migracija;Neringos sav.;asmenys;-83
2006;Neto migracija;Neringos sav.;asmenys;-23
2007;Neto migracija;Neringos sav.;asmenys;86
2008;Neto migracija;Neringos sav.;asmenys;177
2009;Neto migracija;Neringos sav.;asmenys;-67
2010;Neto migracija;Neringos sav.;asmenys;156
2011;Neto migracija;Neringos sav.;asmenys;62
2012;Neto migracija;Neringos sav.;asmenys;64
2013;Neto migracija;Neringos sav.;asmenys;20
2014;Neto migracija;Neringos sav.;asmenys;114
2015;Neto migracija;Neringos sav.;asmenys;110
2016;Neto migracija;Neringos sav.;asmenys;65
2017;Neto migracija;Neringos sav.;asmenys;116
2018;Neto migracija;Neringos sav.;asmenys;210
1990;Neto migracija;Palangos m. sav.;asmenys;
1991;Neto migracija;Palangos m. sav.;asmenys;
1992;Neto migracija;Palangos m. sav.;asmenys;
1993;Neto migracija;Palangos m. sav.;asmenys;
1994;Neto migracija;Palangos m. sav.;asmenys;-318
1995;Neto migracija;Palangos m. sav.;asmenys;-326
1996;Neto migracija;Palangos m. sav.;asmenys;-376
1997;Neto migracija;Palangos m. sav.;asmenys;-341
1998;Neto migracija;Palangos m. sav.;asmenys;-277
1999;Neto migracija;Palangos m. sav.;asmenys;-193
2000;Neto migracija;Palangos m. sav.;asmenys;-164
2001;Neto migracija;Palangos m. sav.;asmenys;-211
2002;Neto migracija;Palangos m. sav.;asmenys;21
2003;Neto migracija;Palangos m. sav.;asmenys;-80
2004;Neto migracija;Palangos m. sav.;asmenys;-133
2005;Neto migracija;Palangos m. sav.;asmenys;-297
2006;Neto migracija;Palangos m. sav.;asmenys;-145
2007;Neto migracija;Palangos m. sav.;asmenys;-81
2008;Neto migracija;Palangos m. sav.;asmenys;-35
2009;Neto migracija;Palangos m. sav.;asmenys;-12
2010;Neto migracija;Palangos m. sav.;asmenys;-389
2011;Neto migracija;Palangos m. sav.;asmenys;-210
2012;Neto migracija;Palangos m. sav.;asmenys;-89
2013;Neto migracija;Palangos m. sav.;asmenys;81
2014;Neto migracija;Palangos m. sav.;asmenys;111
2015;Neto migracija;Palangos m. sav.;asmenys;239
2016;Neto migracija;Palangos m. sav.;asmenys;-23
2017;Neto migracija;Palangos m. sav.;asmenys;36
2018;Neto migracija;Palangos m. sav.;asmenys;355
1990;Neto migracija;Skuodo r. sav.;asmenys;
1991;Neto migracija;Skuodo r. sav.;asmenys;
1992;Neto migracija;Skuodo r. sav.;asmenys;
1993;Neto migracija;Skuodo r. sav.;asmenys;
1994;Neto migracija;Skuodo r. sav.;asmenys;-98
1995;Neto migracija;Skuodo r. sav.;asmenys;-213
1996;Neto migracija;Skuodo r. sav.;asmenys;-238
1997;Neto migracija;Skuodo r. sav.;asmenys;-299
1998;Neto migracija;Skuodo r. sav.;asmenys;-350
1999;Neto migracija;Skuodo r. sav.;asmenys;-241
2000;Neto migracija;Skuodo r. sav.;asmenys;-179
2001;Neto migracija;Skuodo r. sav.;asmenys;-225
2002;Neto migracija;Skuodo r. sav.;asmenys;-194
2003;Neto migracija;Skuodo r. sav.;asmenys;-234
2004;Neto migracija;Skuodo r. sav.;asmenys;-373
2005;Neto migracija;Skuodo r. sav.;asmenys;-557
2006;Neto migracija;Skuodo r. sav.;asmenys;-403
2007;Neto migracija;Skuodo r. sav.;asmenys;-339
2008;Neto migracija;Skuodo r. sav.;asmenys;-400
2009;Neto migracija;Skuodo r. sav.;asmenys;-320
2010;Neto migracija;Skuodo r. sav.;asmenys;-512
2011;Neto migracija;Skuodo r. sav.;asmenys;-408
2012;Neto migracija;Skuodo r. sav.;asmenys;-481
2013;Neto migracija;Skuodo r. sav.;asmenys;-415
2014;Neto migracija;Skuodo r. sav.;asmenys;-291
2015;Neto migracija;Skuodo r. sav.;asmenys;-324
2016;Neto migracija;Skuodo r. sav.;asmenys;-399
2017;Neto migracija;Skuodo r. sav.;asmenys;-497
2018;Neto migracija;Skuodo r. sav.;asmenys;-280
1990;Neto migracija;Šilutės r. sav.;asmenys;
1991;Neto migracija;Šilutės r. sav.;asmenys;
1992;Neto migracija;Šilutės r. sav.;asmenys;
1993;Neto migracija;Šilutės r. sav.;asmenys;
1994;Neto migracija;Šilutės r. sav.;asmenys;-16
1995;Neto migracija;Šilutės r. sav.;asmenys;40
1996;Neto migracija;Šilutės r. sav.;asmenys;-134
1997;Neto migracija;Šilutės r. sav.;asmenys;-79
1998;Neto migracija;Šilutės r. sav.;asmenys;-414
1999;Neto migracija;Šilutės r. sav.;asmenys;-400
2000;Neto migracija;Šilutės r. sav.;asmenys;-608
2001;Neto migracija;Šilutės r. sav.;asmenys;-874
2002;Neto migracija;Šilutės r. sav.;asmenys;-405
2003;Neto migracija;Šilutės r. sav.;asmenys;-657
2004;Neto migracija;Šilutės r. sav.;asmenys;-853
2005;Neto migracija;Šilutės r. sav.;asmenys;-1114
2006;Neto migracija;Šilutės r. sav.;asmenys;-637
2007;Neto migracija;Šilutės r. sav.;asmenys;-529
2008;Neto migracija;Šilutės r. sav.;asmenys;-501
2009;Neto migracija;Šilutės r. sav.;asmenys;-654
2010;Neto migracija;Šilutės r. sav.;asmenys;-2128
2011;Neto migracija;Šilutės r. sav.;asmenys;-1152
2012;Neto migracija;Šilutės r. sav.;asmenys;-712
2013;Neto migracija;Šilutės r. sav.;asmenys;-634
2014;Neto migracija;Šilutės r. sav.;asmenys;-539
2015;Neto migracija;Šilutės r. sav.;asmenys;-669
2016;Neto migracija;Šilutės r. sav.;asmenys;-998
2017;Neto migracija;Šilutės r. sav.;asmenys;-978
2018;Neto migracija;Šilutės r. sav.;asmenys;-364
1990;Neto migracija;Kalvarijos sav.;asmenys;
1991;Neto migracija;Kalvarijos sav.;asmenys;
1992;Neto migracija;Kalvarijos sav.;asmenys;
1993;Neto migracija;Kalvarijos sav.;asmenys;
1994;Neto migracija;Kalvarijos sav.;asmenys;26
1995;Neto migracija;Kalvarijos sav.;asmenys;146
1996;Neto migracija;Kalvarijos sav.;asmenys;11
1997;Neto migracija;Kalvarijos sav.;asmenys;-80
1998;Neto migracija;Kalvarijos sav.;asmenys;-94
1999;Neto migracija;Kalvarijos sav.;asmenys;-75
2000;Neto migracija;Kalvarijos sav.;asmenys;-30
2001;Neto migracija;Kalvarijos sav.;asmenys;-109
2002;Neto migracija;Kalvarijos sav.;asmenys;-52
2003;Neto migracija;Kalvarijos sav.;asmenys;-53
2004;Neto migracija;Kalvarijos sav.;asmenys;-73
2005;Neto migracija;Kalvarijos sav.;asmenys;-159
2006;Neto migracija;Kalvarijos sav.;asmenys;-75
2007;Neto migracija;Kalvarijos sav.;asmenys;-55
2008;Neto migracija;Kalvarijos sav.;asmenys;-91
2009;Neto migracija;Kalvarijos sav.;asmenys;-97
2010;Neto migracija;Kalvarijos sav.;asmenys;-221
2011;Neto migracija;Kalvarijos sav.;asmenys;-136
2012;Neto migracija;Kalvarijos sav.;asmenys;-122
2013;Neto migracija;Kalvarijos sav.;asmenys;-77
2014;Neto migracija;Kalvarijos sav.;asmenys;-83
2015;Neto migracija;Kalvarijos sav.;asmenys;-126
2016;Neto migracija;Kalvarijos sav.;asmenys;-198
2017;Neto migracija;Kalvarijos sav.;asmenys;-231
2018;Neto migracija;Kalvarijos sav.;asmenys;-249
1990;Neto migracija;Kazlų Rūdos sav.;asmenys;
1991;Neto migracija;Kazlų Rūdos sav.;asmenys;
1992;Neto migracija;Kazlų Rūdos sav.;asmenys;
1993;Neto migracija;Kazlų Rūdos sav.;asmenys;
1994;Neto migracija;Kazlų Rūdos sav.;asmenys;-81
1995;Neto migracija;Kazlų Rūdos sav.;asmenys;61
1996;Neto migracija;Kazlų Rūdos sav.;asmenys;-181
1997;Neto migracija;Kazlų Rūdos sav.;asmenys;-23
1998;Neto migracija;Kazlų Rūdos sav.;asmenys;-121
1999;Neto migracija;Kazlų Rūdos sav.;asmenys;-118
2000;Neto migracija;Kazlų Rūdos sav.;asmenys;-59
2001;Neto migracija;Kazlų Rūdos sav.;asmenys;10
2002;Neto migracija;Kazlų Rūdos sav.;asmenys;-40
2003;Neto migracija;Kazlų Rūdos sav.;asmenys;-13
2004;Neto migracija;Kazlų Rūdos sav.;asmenys;-53
2005;Neto migracija;Kazlų Rūdos sav.;asmenys;-193
2006;Neto migracija;Kazlų Rūdos sav.;asmenys;-81
2007;Neto migracija;Kazlų Rūdos sav.;asmenys;-79
2008;Neto migracija;Kazlų Rūdos sav.;asmenys;-107
2009;Neto migracija;Kazlų Rūdos sav.;asmenys;-145
2010;Neto migracija;Kazlų Rūdos sav.;asmenys;-330
2011;Neto migracija;Kazlų Rūdos sav.;asmenys;-175
2012;Neto migracija;Kazlų Rūdos sav.;asmenys;-234
2013;Neto migracija;Kazlų Rūdos sav.;asmenys;-58
2014;Neto migracija;Kazlų Rūdos sav.;asmenys;-74
2015;Neto migracija;Kazlų Rūdos sav.;asmenys;-41
2016;Neto migracija;Kazlų Rūdos sav.;asmenys;-206
2017;Neto migracija;Kazlų Rūdos sav.;asmenys;-264
2018;Neto migracija;Kazlų Rūdos sav.;asmenys;-202
1990;Neto migracija;Marijampolės sav.;asmenys;
1991;Neto migracija;Marijampolės sav.;asmenys;
1992;Neto migracija;Marijampolės sav.;asmenys;
1993;Neto migracija;Marijampolės sav.;asmenys;
1994;Neto migracija;Marijampolės sav.;asmenys;-603
1995;Neto migracija;Marijampolės sav.;asmenys;-392
1996;Neto migracija;Marijampolės sav.;asmenys;-455
1997;Neto migracija;Marijampolės sav.;asmenys;-549
1998;Neto migracija;Marijampolės sav.;asmenys;-631
1999;Neto migracija;Marijampolės sav.;asmenys;-448
2000;Neto migracija;Marijampolės sav.;asmenys;-223
2001;Neto migracija;Marijampolės sav.;asmenys;-622
2002;Neto migracija;Marijampolės sav.;asmenys;-389
2003;Neto migracija;Marijampolės sav.;asmenys;-630
2004;Neto migracija;Marijampolės sav.;asmenys;-958
2005;Neto migracija;Marijampolės sav.;asmenys;-1101
2006;Neto migracija;Marijampolės sav.;asmenys;-611
2007;Neto migracija;Marijampolės sav.;asmenys;-654
2008;Neto migracija;Marijampolės sav.;asmenys;-513
2009;Neto migracija;Marijampolės sav.;asmenys;-897
2010;Neto migracija;Marijampolės sav.;asmenys;-1752
2011;Neto migracija;Marijampolės sav.;asmenys;-891
2012;Neto migracija;Marijampolės sav.;asmenys;-807
2013;Neto migracija;Marijampolės sav.;asmenys;-582
2014;Neto migracija;Marijampolės sav.;asmenys;-478
2015;Neto migracija;Marijampolės sav.;asmenys;-713
2016;Neto migracija;Marijampolės sav.;asmenys;-1178
2017;Neto migracija;Marijampolės sav.;asmenys;-961
2018;Neto migracija;Marijampolės sav.;asmenys;-259
1990;Neto migracija;Marijampolės r. sav.;asmenys;
1991;Neto migracija;Marijampolės r. sav.;asmenys;
1992;Neto migracija;Marijampolės r. sav.;asmenys;
1993;Neto migracija;Marijampolės r. sav.;asmenys;
1994;Neto migracija;Marijampolės r. sav.;asmenys;
1995;Neto migracija;Marijampolės r. sav.;asmenys;
1996;Neto migracija;Marijampolės r. sav.;asmenys;
1997;Neto migracija;Marijampolės r. sav.;asmenys;
1998;Neto migracija;Marijampolės r. sav.;asmenys;
1999;Neto migracija;Marijampolės r. sav.;asmenys;
2000;Neto migracija;Marijampolės r. sav.;asmenys;
2001;Neto migracija;Marijampolės r. sav.;asmenys;
2002;Neto migracija;Marijampolės r. sav.;asmenys;
2003;Neto migracija;Marijampolės r. sav.;asmenys;
2004;Neto migracija;Marijampolės r. sav.;asmenys;
2005;Neto migracija;Marijampolės r. sav.;asmenys;
2006;Neto migracija;Marijampolės r. sav.;asmenys;
2007;Neto migracija;Marijampolės r. sav.;asmenys;
2008;Neto migracija;Marijampolės r. sav.;asmenys;
2009;Neto migracija;Marijampolės r. sav.;asmenys;
2010;Neto migracija;Marijampolės r. sav.;asmenys;
2011;Neto migracija;Marijampolės r. sav.;asmenys;
2012;Neto migracija;Marijampolės r. sav.;asmenys;
2013;Neto migracija;Marijampolės r. sav.;asmenys;
2014;Neto migracija;Marijampolės r. sav.;asmenys;
2015;Neto migracija;Marijampolės r. sav.;asmenys;
2016;Neto migracija;Marijampolės r. sav.;asmenys;
2017;Neto migracija;Marijampolės r. sav.;asmenys;
2018;Neto migracija;Marijampolės r. sav.;asmenys;
1990;Neto migracija;Šakių r. sav.;asmenys;
1991;Neto migracija;Šakių r. sav.;asmenys;
1992;Neto migracija;Šakių r. sav.;asmenys;
1993;Neto migracija;Šakių r. sav.;asmenys;
1994;Neto migracija;Šakių r. sav.;asmenys;-109
1995;Neto migracija;Šakių r. sav.;asmenys;-42
1996;Neto migracija;Šakių r. sav.;asmenys;-36
1997;Neto migracija;Šakių r. sav.;asmenys;-12
1998;Neto migracija;Šakių r. sav.;asmenys;-143
1999;Neto migracija;Šakių r. sav.;asmenys;-70
2000;Neto migracija;Šakių r. sav.;asmenys;-205
2001;Neto migracija;Šakių r. sav.;asmenys;-226
2002;Neto migracija;Šakių r. sav.;asmenys;-108
2003;Neto migracija;Šakių r. sav.;asmenys;-378
2004;Neto migracija;Šakių r. sav.;asmenys;-329
2005;Neto migracija;Šakių r. sav.;asmenys;-597
2006;Neto migracija;Šakių r. sav.;asmenys;-393
2007;Neto migracija;Šakių r. sav.;asmenys;-377
2008;Neto migracija;Šakių r. sav.;asmenys;-405
2009;Neto migracija;Šakių r. sav.;asmenys;-422
2010;Neto migracija;Šakių r. sav.;asmenys;-648
2011;Neto migracija;Šakių r. sav.;asmenys;-383
2012;Neto migracija;Šakių r. sav.;asmenys;-391
2013;Neto migracija;Šakių r. sav.;asmenys;-333
2014;Neto migracija;Šakių r. sav.;asmenys;-293
2015;Neto migracija;Šakių r. sav.;asmenys;-422
2016;Neto migracija;Šakių r. sav.;asmenys;-512
2017;Neto migracija;Šakių r. sav.;asmenys;-668
2018;Neto migracija;Šakių r. sav.;asmenys;-455
1990;Neto migracija;Vilkaviškio r. sav.;asmenys;
1991;Neto migracija;Vilkaviškio r. sav.;asmenys;
1992;Neto migracija;Vilkaviškio r. sav.;asmenys;
