Laikotarpis;Rodiklis;Administracinė teritorija;Matavimo vienetai;Reikšmė
2010;Neto migracija;Švenčionių r. sav.;asmenys;-358
2011;Neto migracija;Švenčionių r. sav.;asmenys;-225
2012;Neto migracija;Švenčionių r. sav.;asmenys;-285
2013;Neto migracija;Švenčionių r. sav.;asmenys;-222
2014;Neto migracija;Švenčionių r. sav.;asmenys;-232
2015;Neto migracija;Švenčionių r. sav.;asmenys;-238
2016;Neto migracija;Švenčionių r. sav.;asmenys;-328
2017;Neto migracija;Švenčionių r. sav.;asmenys;-374
2018;Neto migracija;Švenčionių r. sav.;asmenys;-186
1990;Neto migracija;Trakų r. sav.;asmenys;
1991;Neto migracija;Trakų r. sav.;asmenys;
1992;Neto migracija;Trakų r. sav.;asmenys;
1993;Neto migracija;Trakų r. sav.;asmenys;
1994;Neto migracija;Trakų r. sav.;asmenys;-201
1995;Neto migracija;Trakų r. sav.;asmenys;83
1996;Neto migracija;Trakų r. sav.;asmenys;60
1997;Neto migracija;Trakų r. sav.;asmenys;-67
1998;Neto migracija;Trakų r. sav.;asmenys;-1
1999;Neto migracija;Trakų r. sav.;asmenys;61
2000;Neto migracija;Trakų r. sav.;asmenys;248
2001;Neto migracija;Trakų r. sav.;asmenys;-80
2002;Neto migracija;Trakų r. sav.;asmenys;62
2003;Neto migracija;Trakų r. sav.;asmenys;169
2004;Neto migracija;Trakų r. sav.;asmenys;56
2005;Neto migracija;Trakų r. sav.;asmenys;-132
2006;Neto migracija;Trakų r. sav.;asmenys;-126
2007;Neto migracija;Trakų r. sav.;asmenys;-68
2008;Neto migracija;Trakų r. sav.;asmenys;37
2009;Neto migracija;Trakų r. sav.;asmenys;-174
2010;Neto migracija;Trakų r. sav.;asmenys;-364
2011;Neto migracija;Trakų r. sav.;asmenys;-78
2012;Neto migracija;Trakų r. sav.;asmenys;-177
2013;Neto migracija;Trakų r. sav.;asmenys;-173
2014;Neto migracija;Trakų r. sav.;asmenys;35
2015;Neto migracija;Trakų r. sav.;asmenys;-213
2016;Neto migracija;Trakų r. sav.;asmenys;-151
2017;Neto migracija;Trakų r. sav.;asmenys;-71
2018;Neto migracija;Trakų r. sav.;asmenys;233
1990;Neto migracija;Ukmergės r. sav.;asmenys;
1991;Neto migracija;Ukmergės r. sav.;asmenys;
1992;Neto migracija;Ukmergės r. sav.;asmenys;
1993;Neto migracija;Ukmergės r. sav.;asmenys;
1994;Neto migracija;Ukmergės r. sav.;asmenys;-296
1995;Neto migracija;Ukmergės r. sav.;asmenys;-195
1996;Neto migracija;Ukmergės r. sav.;asmenys;-49
1997;Neto migracija;Ukmergės r. sav.;asmenys;-68
1998;Neto migracija;Ukmergės r. sav.;asmenys;-199
1999;Neto migracija;Ukmergės r. sav.;asmenys;-127
2000;Neto migracija;Ukmergės r. sav.;asmenys;39
2001;Neto migracija;Ukmergės r. sav.;asmenys;-310
2002;Neto migracija;Ukmergės r. sav.;asmenys;-93
2003;Neto migracija;Ukmergės r. sav.;asmenys;-258
2004;Neto migracija;Ukmergės r. sav.;asmenys;-406
2005;Neto migracija;Ukmergės r. sav.;asmenys;-614
