Laikotarpis;Rodiklis;Administracinė teritorija;Lytis;Matavimo vienetai;Reikšmė
2019;Medianinis gyventojų amžius metų pradžioje;Širvintų r. sav.;Vyrai;metai;43.0
2001;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai;metai;36.0
2002;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai;metai;37.0
2003;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai;metai;37.0
2004;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai;metai;38.0
2005;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai;metai;38.0
2006;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai;metai;38.0
2007;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai;metai;39.0
2008;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai;metai;39.0
2009;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai;metai;39.0
2010;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai;metai;39.0
2011;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai;metai;40.0
2012;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai;metai;40.0
2013;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai;metai;41.0
2014;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai;metai;41.0
2015;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai;metai;42.0
2016;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai;metai;42.0
2017;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai;metai;43.0
2018;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai;metai;43.0
2019;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai;metai;43.0
2001;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai;metai;34.0
2002;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai;metai;34.0
2003;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai;metai;35.0
2004;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai;metai;35.0
2005;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai;metai;35.0
2006;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai;metai;36.0
2007;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai;metai;36.0
2008;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai;metai;36.0
2009;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai;metai;36.0
2010;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai;metai;36.0
2011;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai;metai;37.0
2012;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai;metai;37.0
2013;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai;metai;37.0
2014;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai;metai;38.0
2015;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai;metai;38.0
2016;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai;metai;38.0
2017;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai;metai;38.0
2018;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai;metai;39.0
2019;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai;metai;38.0
2001;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai;metai;35.0
2002;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai;metai;36.0
2003;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai;metai;36.0
2004;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai;metai;37.0
2005;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai;metai;37.0
2006;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai;metai;38.0
2007;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai;metai;38.0
2008;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai;metai;38.0
2009;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai;metai;39.0
2010;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai;metai;39.0
2011;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai;metai;41.0
2012;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai;metai;42.0
2013;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai;metai;42.0
2014;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai;metai;42.0
2015;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai;metai;43.0
2016;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai;metai;43.0
2017;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai;metai;44.0
2018;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai;metai;44.0
2019;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai;metai;45.0
2001;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai;metai;32.0
2002;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai;metai;33.0
2003;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai;metai;34.0
2004;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai;metai;34.0
2005;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai;metai;34.0
2006;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai;metai;35.0
2007;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai;metai;35.0
2008;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai;metai;36.0
2009;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai;metai;36.0
2010;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai;metai;36.0
2011;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai;metai;34.0
2012;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai;metai;35.0
2013;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai;metai;35.0
2014;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai;metai;35.0
2015;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai;metai;35.0
2016;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai;metai;35.0
2017;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai;metai;35.0
2018;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai;metai;35.0
2019;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai;metai;36.0
2001;Medianinis gyventojų amžius metų pradžioje;Vilniaus r. sav.;Vyrai;metai;33.0
2002;Medianinis gyventojų amžius metų pradžioje;Vilniaus r. sav.;Vyrai;metai;33.0
2003;Medianinis gyventojų amžius metų pradžioje;Vilniaus r. sav.;Vyrai;metai;33.0
2004;Medianinis gyventojų amžius metų pradžioje;Vilniaus r. sav.;Vyrai;metai;34.0
2005;Medianinis gyventojų amžius metų pradžioje;Vilniaus r. sav.;Vyrai;metai;34.0
2006;Medianinis gyventojų amžius metų pradžioje;Vilniaus r. sav.;Vyrai;metai;35.0
2007;Medianinis gyventojų amžius metų pradžioje;Vilniaus r. sav.;Vyrai;metai;35.0
2008;Medianinis gyventojų amžius metų pradžioje;Vilniaus r. sav.;Vyrai;metai;35.0
2009;Medianinis gyventojų amžius metų pradžioje;Vilniaus r. sav.;Vyrai;metai;35.0
2010;Medianinis gyventojų amžius metų pradžioje;Vilniaus r. sav.;Vyrai;metai;36.0
2011;Medianinis gyventojų amžius metų pradžioje;Vilniaus r. sav.;Vyrai;metai;35.0
2012;Medianinis gyventojų amžius metų pradžioje;Vilniaus r. sav.;Vyrai;metai;36.0
2013;Medianinis gyventojų amžius metų pradžioje;Vilniaus r. sav.;Vyrai;metai;36.0
2014;Medianinis gyventojų amžius metų pradžioje;Vilniaus r. sav.;Vyrai;metai;37.0
2015;Medianinis gyventojų amžius metų pradžioje;Vilniaus r. sav.;Vyrai;metai;37.0
2016;Medianinis gyventojų amžius metų pradžioje;Vilniaus r. sav.;Vyrai;metai;37.0
2017;Medianinis gyventojų amžius metų pradžioje;Vilniaus r. sav.;Vyrai;metai;38.0
2018;Medianinis gyventojų amžius metų pradžioje;Vilniaus r. sav.;Vyrai;metai;38.0
2019;Medianinis gyventojų amžius metų pradžioje;Vilniaus r. sav.;Vyrai;metai;38.0
2001;Medianinis gyventojų amžius metų pradžioje;Alytaus m. sav.;Vyrai;metai;31.0
2002;Medianinis gyventojų amžius metų pradžioje;Alytaus m. sav.;Vyrai;metai;31.0
2003;Medianinis gyventojų amžius metų pradžioje;Alytaus m. sav.;Vyrai;metai;32.0
2004;Medianinis gyventojų amžius metų pradžioje;Alytaus m. sav.;Vyrai;metai;32.0
2005;Medianinis gyventojų amžius metų pradžioje;Alytaus m. sav.;Vyrai;metai;33.0
2006;Medianinis gyventojų amžius metų pradžioje;Alytaus m. sav.;Vyrai;metai;34.0
2007;Medianinis gyventojų amžius metų pradžioje;Alytaus m. sav.;Vyrai;metai;34.0
2008;Medianinis gyventojų amžius metų pradžioje;Alytaus m. sav.;Vyrai;metai;35.0
2009;Medianinis gyventojų amžius metų pradžioje;Alytaus m. sav.;Vyrai;metai;35.5
2010;Medianinis gyventojų amžius metų pradžioje;Alytaus m. sav.;Vyrai;metai;36.0
2011;Medianinis gyventojų amžius metų pradžioje;Alytaus m. sav.;Vyrai;metai;37.0
2012;Medianinis gyventojų amžius metų pradžioje;Alytaus m. sav.;Vyrai;metai;38.0
2013;Medianinis gyventojų amžius metų pradžioje;Alytaus m. sav.;Vyrai;metai;39.0
2014;Medianinis gyventojų amžius metų pradžioje;Alytaus m. sav.;Vyrai;metai;39.0
2015;Medianinis gyventojų amžius metų pradžioje;Alytaus m. sav.;Vyrai;metai;40.0
2016;Medianinis gyventojų amžius metų pradžioje;Alytaus m. sav.;Vyrai;metai;40.0
2017;Medianinis gyventojų amžius metų pradžioje;Alytaus m. sav.;Vyrai;metai;41.0
2018;Medianinis gyventojų amžius metų pradžioje;Alytaus m. sav.;Vyrai;metai;42.0
2019;Medianinis gyventojų amžius metų pradžioje;Alytaus m. sav.;Vyrai;metai;42.0
2001;Medianinis gyventojų amžius metų pradžioje;Alytaus r. sav.;Vyrai;metai;37.0
2002;Medianinis gyventojų amžius metų pradžioje;Alytaus r. sav.;Vyrai;metai;38.0
2003;Medianinis gyventojų amžius metų pradžioje;Alytaus r. sav.;Vyrai;metai;38.0
2004;Medianinis gyventojų amžius metų pradžioje;Alytaus r. sav.;Vyrai;metai;39.0
2005;Medianinis gyventojų amžius metų pradžioje;Alytaus r. sav.;Vyrai;metai;39.0
2006;Medianinis gyventojų amžius metų pradžioje;Alytaus r. sav.;Vyrai;metai;40.0
2007;Medianinis gyventojų amžius metų pradžioje;Alytaus r. sav.;Vyrai;metai;40.0
2008;Medianinis gyventojų amžius metų pradžioje;Alytaus r. sav.;Vyrai;metai;40.0
2009;Medianinis gyventojų amžius metų pradžioje;Alytaus r. sav.;Vyrai;metai;40.0
2010;Medianinis gyventojų amžius metų pradžioje;Alytaus r. sav.;Vyrai;metai;41.0
2011;Medianinis gyventojų amžius metų pradžioje;Alytaus r. sav.;Vyrai;metai;42.0
2012;Medianinis gyventojų amžius metų pradžioje;Alytaus r. sav.;Vyrai;metai;42.0
2013;Medianinis gyventojų amžius metų pradžioje;Alytaus r. sav.;Vyrai;metai;43.0
2014;Medianinis gyventojų amžius metų pradžioje;Alytaus r. sav.;Vyrai;metai;43.0
2015;Medianinis gyventojų amžius metų pradžioje;Alytaus r. sav.;Vyrai;metai;44.0
2016;Medianinis gyventojų amžius metų pradžioje;Alytaus r. sav.;Vyrai;metai;44.0
2017;Medianinis gyventojų amžius metų pradžioje;Alytaus r. sav.;Vyrai;metai;45.0
2018;Medianinis gyventojų amžius metų pradžioje;Alytaus r. sav.;Vyrai;metai;46.0
2019;Medianinis gyventojų amžius metų pradžioje;Alytaus r. sav.;Vyrai;metai;46.0
2001;Medianinis gyventojų amžius metų pradžioje;Druskininkų sav.;Vyrai;metai;34.0
2002;Medianinis gyventojų amžius metų pradžioje;Druskininkų sav.;Vyrai;metai;35.0
2003;Medianinis gyventojų amžius metų pradžioje;Druskininkų sav.;Vyrai;metai;36.0
2004;Medianinis gyventojų amžius metų pradžioje;Druskininkų sav.;Vyrai;metai;36.0
2005;Medianinis gyventojų amžius metų pradžioje;Druskininkų sav.;Vyrai;metai;37.0
2006;Medianinis gyventojų amžius metų pradžioje;Druskininkų sav.;Vyrai;metai;37.0
2007;Medianinis gyventojų amžius metų pradžioje;Druskininkų sav.;Vyrai;metai;38.0
2008;Medianinis gyventojų amžius metų pradžioje;Druskininkų sav.;Vyrai;metai;38.0
2009;Medianinis gyventojų amžius metų pradžioje;Druskininkų sav.;Vyrai;metai;38.0
2010;Medianinis gyventojų amžius metų pradžioje;Druskininkų sav.;Vyrai;metai;39.0
2011;Medianinis gyventojų amžius metų pradžioje;Druskininkų sav.;Vyrai;metai;41.0
2012;Medianinis gyventojų amžius metų pradžioje;Druskininkų sav.;Vyrai;metai;42.0
2013;Medianinis gyventojų amžius metų pradžioje;Druskininkų sav.;Vyrai;metai;42.0
2014;Medianinis gyventojų amžius metų pradžioje;Druskininkų sav.;Vyrai;metai;43.0
2015;Medianinis gyventojų amžius metų pradžioje;Druskininkų sav.;Vyrai;metai;43.0
2016;Medianinis gyventojų amžius metų pradžioje;Druskininkų sav.;Vyrai;metai;43.0
2017;Medianinis gyventojų amžius metų pradžioje;Druskininkų sav.;Vyrai;metai;44.0
2018;Medianinis gyventojų amžius metų pradžioje;Druskininkų sav.;Vyrai;metai;44.0
2019;Medianinis gyventojų amžius metų pradžioje;Druskininkų sav.;Vyrai;metai;44.0
2001;Medianinis gyventojų amžius metų pradžioje;Lazdijų r. sav.;Vyrai;metai;36.0
2002;Medianinis gyventojų amžius metų pradžioje;Lazdijų r. sav.;Vyrai;metai;36.0
2003;Medianinis gyventojų amžius metų pradžioje;Lazdijų r. sav.;Vyrai;metai;37.0
2004;Medianinis gyventojų amžius metų pradžioje;Lazdijų r. sav.;Vyrai;metai;37.0
2005;Medianinis gyventojų amžius metų pradžioje;Lazdijų r. sav.;Vyrai;metai;37.0
2006;Medianinis gyventojų amžius metų pradžioje;Lazdijų r. sav.;Vyrai;metai;38.0
2007;Medianinis gyventojų amžius metų pradžioje;Lazdijų r. sav.;Vyrai;metai;38.0
2008;Medianinis gyventojų amžius metų pradžioje;Lazdijų r. sav.;Vyrai;metai;39.0
2009;Medianinis gyventojų amžius metų pradžioje;Lazdijų r. sav.;Vyrai;metai;39.0
2010;Medianinis gyventojų amžius metų pradžioje;Lazdijų r. sav.;Vyrai;metai;40.0
2011;Medianinis gyventojų amžius metų pradžioje;Lazdijų r. sav.;Vyrai;metai;41.0
2012;Medianinis gyventojų amžius metų pradžioje;Lazdijų r. sav.;Vyrai;metai;42.0
2013;Medianinis gyventojų amžius metų pradžioje;Lazdijų r. sav.;Vyrai;metai;42.0
2014;Medianinis gyventojų amžius metų pradžioje;Lazdijų r. sav.;Vyrai;metai;42.0
2015;Medianinis gyventojų amžius metų pradžioje;Lazdijų r. sav.;Vyrai;metai;43.0
2016;Medianinis gyventojų amžius metų pradžioje;Lazdijų r. sav.;Vyrai;metai;43.0
2017;Medianinis gyventojų amžius metų pradžioje;Lazdijų r. sav.;Vyrai;metai;44.0
2018;Medianinis gyventojų amžius metų pradžioje;Lazdijų r. sav.;Vyrai;metai;45.0
2019;Medianinis gyventojų amžius metų pradžioje;Lazdijų r. sav.;Vyrai;metai;45.0
2001;Medianinis gyventojų amžius metų pradžioje;Varėnos r. sav.;Vyrai;metai;37.0
2002;Medianinis gyventojų amžius metų pradžioje;Varėnos r. sav.;Vyrai;metai;37.0
2003;Medianinis gyventojų amžius metų pradžioje;Varėnos r. sav.;Vyrai;metai;37.0
2004;Medianinis gyventojų amžius metų pradžioje;Varėnos r. sav.;Vyrai;metai;38.0
2005;Medianinis gyventojų amžius metų pradžioje;Varėnos r. sav.;Vyrai;metai;38.0
2006;Medianinis gyventojų amžius metų pradžioje;Varėnos r. sav.;Vyrai;metai;39.0
2007;Medianinis gyventojų amžius metų pradžioje;Varėnos r. sav.;Vyrai;metai;39.0
2008;Medianinis gyventojų amžius metų pradžioje;Varėnos r. sav.;Vyrai;metai;40.0
2009;Medianinis gyventojų amžius metų pradžioje;Varėnos r. sav.;Vyrai;metai;40.0
2010;Medianinis gyventojų amžius metų pradžioje;Varėnos r. sav.;Vyrai;metai;40.0
2011;Medianinis gyventojų amžius metų pradžioje;Varėnos r. sav.;Vyrai;metai;42.0
2012;Medianinis gyventojų amžius metų pradžioje;Varėnos r. sav.;Vyrai;metai;42.0
2013;Medianinis gyventojų amžius metų pradžioje;Varėnos r. sav.;Vyrai;metai;43.0
2014;Medianinis gyventojų amžius metų pradžioje;Varėnos r. sav.;Vyrai;metai;43.0
2015;Medianinis gyventojų amžius metų pradžioje;Varėnos r. sav.;Vyrai;metai;43.0
2016;Medianinis gyventojų amžius metų pradžioje;Varėnos r. sav.;Vyrai;metai;44.0
2017;Medianinis gyventojų amžius metų pradžioje;Varėnos r. sav.;Vyrai;metai;44.0
2018;Medianinis gyventojų amžius metų pradžioje;Varėnos r. sav.;Vyrai;metai;45.0
2019;Medianinis gyventojų amžius metų pradžioje;Varėnos r. sav.;Vyrai;metai;46.0
2001;Medianinis gyventojų amžius metų pradžioje;Birštono sav.;Vyrai;metai;36.0
2002;Medianinis gyventojų amžius metų pradžioje;Birštono sav.;Vyrai;metai;36.0
2003;Medianinis gyventojų amžius metų pradžioje;Birštono sav.;Vyrai;metai;37.0
2004;Medianinis gyventojų amžius metų pradžioje;Birštono sav.;Vyrai;metai;37.0
2005;Medianinis gyventojų amžius metų pradžioje;Birštono sav.;Vyrai;metai;38.0
2006;Medianinis gyventojų amžius metų pradžioje;Birštono sav.;Vyrai;metai;38.0
2007;Medianinis gyventojų amžius metų pradžioje;Birštono sav.;Vyrai;metai;39.0
2008;Medianinis gyventojų amžius metų pradžioje;Birštono sav.;Vyrai;metai;39.0
2009;Medianinis gyventojų amžius metų pradžioje;Birštono sav.;Vyrai;metai;39.0
2010;Medianinis gyventojų amžius metų pradžioje;Birštono sav.;Vyrai;metai;39.0
2011;Medianinis gyventojų amžius metų pradžioje;Birštono sav.;Vyrai;metai;41.0
2012;Medianinis gyventojų amžius metų pradžioje;Birštono sav.;Vyrai;metai;41.0
2013;Medianinis gyventojų amžius metų pradžioje;Birštono sav.;Vyrai;metai;42.0
2014;Medianinis gyventojų amžius metų pradžioje;Birštono sav.;Vyrai;metai;42.0
2015;Medianinis gyventojų amžius metų pradžioje;Birštono sav.;Vyrai;metai;43.0
2016;Medianinis gyventojų amžius metų pradžioje;Birštono sav.;Vyrai;metai;44.0
2017;Medianinis gyventojų amžius metų pradžioje;Birštono sav.;Vyrai;metai;44.0
2018;Medianinis gyventojų amžius metų pradžioje;Birštono sav.;Vyrai;metai;45.0
2019;Medianinis gyventojų amžius metų pradžioje;Birštono sav.;Vyrai;metai;46.0
2001;Medianinis gyventojų amžius metų pradžioje;Jonavos r. sav.;Vyrai;metai;31.0
2002;Medianinis gyventojų amžius metų pradžioje;Jonavos r. sav.;Vyrai;metai;32.0
2003;Medianinis gyventojų amžius metų pradžioje;Jonavos r. sav.;Vyrai;metai;32.0
2004;Medianinis gyventojų amžius metų pradžioje;Jonavos r. sav.;Vyrai;metai;32.0
2005;Medianinis gyventojų amžius metų pradžioje;Jonavos r. sav.;Vyrai;metai;33.0
2006;Medianinis gyventojų amžius metų pradžioje;Jonavos r. sav.;Vyrai;metai;33.0
2007;Medianinis gyventojų amžius metų pradžioje;Jonavos r. sav.;Vyrai;metai;34.0
2008;Medianinis gyventojų amžius metų pradžioje;Jonavos r. sav.;Vyrai;metai;34.0
2009;Medianinis gyventojų amžius metų pradžioje;Jonavos r. sav.;Vyrai;metai;34.0
2010;Medianinis gyventojų amžius metų pradžioje;Jonavos r. sav.;Vyrai;metai;35.0
2011;Medianinis gyventojų amžius metų pradžioje;Jonavos r. sav.;Vyrai;metai;36.0
2012;Medianinis gyventojų amžius metų pradžioje;Jonavos r. sav.;Vyrai;metai;37.0
2013;Medianinis gyventojų amžius metų pradžioje;Jonavos r. sav.;Vyrai;metai;37.0
2014;Medianinis gyventojų amžius metų pradžioje;Jonavos r. sav.;Vyrai;metai;38.0
2015;Medianinis gyventojų amžius metų pradžioje;Jonavos r. sav.;Vyrai;metai;38.0
2016;Medianinis gyventojų amžius metų pradžioje;Jonavos r. sav.;Vyrai;metai;39.0
2017;Medianinis gyventojų amžius metų pradžioje;Jonavos r. sav.;Vyrai;metai;39.0
2018;Medianinis gyventojų amžius metų pradžioje;Jonavos r. sav.;Vyrai;metai;39.5
2019;Medianinis gyventojų amžius metų pradžioje;Jonavos r. sav.;Vyrai;metai;40.0
2001;Medianinis gyventojų amžius metų pradžioje;Kaišiadorių r. sav.;Vyrai;metai;33.0
2002;Medianinis gyventojų amžius metų pradžioje;Kaišiadorių r. sav.;Vyrai;metai;34.0
2003;Medianinis gyventojų amžius metų pradžioje;Kaišiadorių r. sav.;Vyrai;metai;34.0
