neighbourhood;street;municipality;houses;overlap;str_type
Antakalnis;Juodvarnių Sodų 11-oji g. ;Vilnius;6;No;Sodas
Antakalnis;Juodvarnių Sodų 12-oji g. ;Vilnius;13;No;Sodas
Antakalnis;Juodvarnių Sodų 13-oji g. ;Vilnius;5;No;Sodas
Antakalnis;Juodvarnių Sodų 14-oji g. ;Vilnius;19;No;Sodas
Antakalnis;Juodvarnių Sodų 15-oji g. ;Vilnius;19;No;Sodas
Antakalnis;Juodvarnių Sodų 16-oji g. ;Vilnius;26;No;Sodas
Antakalnis;Juodvarnių Sodų 17-oji g. ;Vilnius;25;No;Sodas
Antakalnis;Juodvarnių Sodų 18-oji g. ;Vilnius;24;No;Sodas
Antakalnis;Juodvarnių Sodų 19-oji g. ;Vilnius;32;No;Sodas
Antakalnis;Juodvarnių Sodų 2-oji g. ;Vilnius;7;No;Sodas
Antakalnis;Juodvarnių Sodų 20-oji g. ;Vilnius;16;No;Sodas
Antakalnis;Juodvarnių Sodų 21-oji g. ;Vilnius;10;No;Sodas
Antakalnis;Juodvarnių Sodų 22-oji g. ;Vilnius;7;No;Sodas
Antakalnis;Juodvarnių Sodų 23-ioji g. ;Vilnius;10;No;Sodas
Antakalnis;Juodvarnių Sodų 24-oji g. ;Vilnius;36;No;Sodas
Antakalnis;Juodvarnių Sodų 25-oji g. ;Vilnius;29;No;Sodas
Antakalnis;Juodvarnių Sodų 26-oji g. ;Vilnius;51;No;Sodas
Antakalnis;Juodvarnių Sodų 27-oji g. ;Vilnius;18;No;Sodas
Antakalnis;Juodvarnių Sodų 28-oji g. ;Vilnius;10;No;Sodas
Antakalnis;Juodvarnių Sodų 3-ioji g. ;Vilnius;5;No;Sodas
Antakalnis;Juodvarnių Sodų 4-oji g. ;Vilnius;6;No;Sodas
Antakalnis;Juodvarnių Sodų 5-oji g. ;Vilnius;9;No;Sodas
Antakalnis;Juodvarnių Sodų 6-oji g. ;Vilnius;9;No;Sodas
Antakalnis;Juodvarnių Sodų 7-oji g. ;Vilnius;9;No;Sodas
Antakalnis;Juodvarnių Sodų 8-oji g. ;Vilnius;8;No;Sodas
Antakalnis;Juodvarnių Sodų 9-oji g. ;Vilnius;18;No;Sodas
Antakalnis;Jūratės g. ;Vilnius;38;No;Kitas
Antakalnis;K. Būgos g.;Vilnius;nan;No;Kitas
Antakalnis;K. Jauniaus g. ;Vilnius;1;No;Kitas
Antakalnis;K. Semenavičiaus g. ;Vilnius;25;No;Kitas
Antakalnis;Kairėnės g. ;Vilnius;19;No;Kitas
Antakalnis;Kairėnės Sodų g. ;Vilnius;25;No;Sodas
Antakalnis;Kairėnės Sodų 1-oji g. ;Vilnius;17;No;Sodas
Antakalnis;Kairėnės Sodų 2-oji g. ;Vilnius;50;No;Sodas
Antakalnis;Kairėnės Sodų 3-ioji g. ;Vilnius;22;No;Sodas
Antakalnis;Kairėnės Sodų 4-oji g. ;Vilnius;7;No;Sodas
Antakalnis;Kairėnų g. ;Vilnius;30;No;Kitas
Antakalnis;Kalno g. ;Vilnius;35 ;35 iš 96*;Kitas
Antakalnis;Kalvos g. ;Vilnius;1 ;1 iš 9*;Kitas
Antakalnis;Kalvų Sodų 1-oji g. ;Vilnius;20;No;Sodas
Antakalnis;Kalvų Sodų 2-oji g. ;Vilnius;16;No;Sodas
Antakalnis;Kalvų Sodų 3-ioji g. ;Vilnius;13;No;Sodas
Antakalnis;Kalvų Sodų 4-oji g. ;Vilnius;45;No;Sodas
Antakalnis;Kanklių g. ;Vilnius;16;No;Kitas
Antakalnis;Karačiūnų g. ;Vilnius;91;No;Kitas
Antakalnis;Karačiūnų Sodų 1-oji g. ;Vilnius;15;No;Sodas
Antakalnis;Karačiūnų Sodų 10-oji g. ;Vilnius;7;No;Sodas
Antakalnis;Karačiūnų Sodų 11-oji g. ;Vilnius;4;No;Sodas
Antakalnis;Karačiūnų Sodų 12-oji g. ;Vilnius;12;No;Sodas
Antakalnis;Karačiūnų Sodų 13-oji g. ;Vilnius;6;No;Sodas
Antakalnis;Karačiūnų Sodų 2-oji g. ;Vilnius;6;No;Sodas
