Laikotarpis;Rodiklis;Administracinė teritorija;Gyvenamoji vietovė;Matavimo vienetai;Reikšmė
2002;Nuolatinių gyventojų skaičius metų pradžioje;Širvintų r. sav.;Miestas ir kaimas;asmenys;20081
2003;Nuolatinių gyventojų skaičius metų pradžioje;Širvintų r. sav.;Miestas ir kaimas;asmenys;19869
2004;Nuolatinių gyventojų skaičius metų pradžioje;Širvintų r. sav.;Miestas ir kaimas;asmenys;19677
2005;Nuolatinių gyventojų skaičius metų pradžioje;Širvintų r. sav.;Miestas ir kaimas;asmenys;19529
2006;Nuolatinių gyventojų skaičius metų pradžioje;Širvintų r. sav.;Miestas ir kaimas;asmenys;19239
2007;Nuolatinių gyventojų skaičius metų pradžioje;Širvintų r. sav.;Miestas ir kaimas;asmenys;18999
2008;Nuolatinių gyventojų skaičius metų pradžioje;Širvintų r. sav.;Miestas ir kaimas;asmenys;18752
2009;Nuolatinių gyventojų skaičius metų pradžioje;Širvintų r. sav.;Miestas ir kaimas;asmenys;18461
2010;Nuolatinių gyventojų skaičius metų pradžioje;Širvintų r. sav.;Miestas ir kaimas;asmenys;18166
2011;Nuolatinių gyventojų skaičius metų pradžioje;Širvintų r. sav.;Miestas ir kaimas;asmenys;17659
2012;Nuolatinių gyventojų skaičius metų pradžioje;Širvintų r. sav.;Miestas ir kaimas;asmenys;17225
2013;Nuolatinių gyventojų skaičius metų pradžioje;Širvintų r. sav.;Miestas ir kaimas;asmenys;16908
2014;Nuolatinių gyventojų skaičius metų pradžioje;Širvintų r. sav.;Miestas ir kaimas;asmenys;16599
2015;Nuolatinių gyventojų skaičius metų pradžioje;Širvintų r. sav.;Miestas ir kaimas;asmenys;16333
2016;Nuolatinių gyventojų skaičius metų pradžioje;Širvintų r. sav.;Miestas ir kaimas;asmenys;16074
2017;Nuolatinių gyventojų skaičius metų pradžioje;Širvintų r. sav.;Miestas ir kaimas;asmenys;15863
2018;Nuolatinių gyventojų skaičius metų pradžioje;Širvintų r. sav.;Miestas ir kaimas;asmenys;15570
2019;Nuolatinių gyventojų skaičius metų pradžioje;Širvintų r. sav.;Miestas ir kaimas;asmenys;15355
1996;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;34623
1997;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;34482
1998;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;34192
1999;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;33818
2000;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;33552
2001;Nuolatinių gyventojų skaičius metų pradžioje;Švenčionių r. sav.;Miestas ir kaimas;asmenys;33221
