;Laikotarpis;Administracinė teritorija;population;Amžius;women;proportion;population_women;population_men
153;2005;Elektrėnų sav.;27649.0;Iš viso pagal amžių;1112;0.556;15372.844000000001;12276.155999999999
154;2005;Elektrėnų sav.;27649.0;0–4;1084;0.542;14985.758000000002;12663.241999999998
155;2005;Elektrėnų sav.;27649.0;5–9;924;0.462;12773.838;14875.162
156;2005;Elektrėnų sav.;27649.0;10–14;948;0.474;13105.626;14543.374
157;2005;Elektrėnų sav.;27649.0;15–19;957;0.4785;13230.0465;14418.9535
158;2005;Elektrėnų sav.;27649.0;20–24;825;0.4125;11405.2125;16243.7875
159;2005;Elektrėnų sav.;27649.0;25–29;944;0.472;13050.328;14598.672
160;2005;Elektrėnų sav.;27649.0;30–34;994;0.497;13741.553;13907.447
161;2005;Elektrėnų sav.;27649.0;35–39;1036;0.518;14322.182;13326.818
162;2005;Elektrėnų sav.;27649.0;40–44;1046;0.523;14460.427;13188.573
163;2005;Elektrėnų sav.;27649.0;45–49;1048;0.524;14488.076000000001;13160.923999999999
164;2005;Elektrėnų sav.;27649.0;50–54;1094;0.547;15124.003;12524.997
165;2005;Elektrėnų sav.;27649.0;55–59;1159;0.5795;16022.595500000001;11626.404499999999
166;2005;Elektrėnų sav.;27649.0;60–64;1310;0.655;18110.095;9538.904999999999
167;2005;Elektrėnų sav.;27649.0;65–69;1442;0.721;19934.929;7714.071
168;2005;Elektrėnų sav.;27649.0;70–74;1706;0.853;23584.596999999998;4064.403000000002
169;2005;Elektrėnų sav.;27649.0;75 ir vyresni;2668;1.334;36883.766;-9234.766000000003
170;2006;Elektrėnų sav.;26973.0;Iš viso pagal amžių;1128;0.564;15212.771999999999;11760.228000000001
171;2006;Elektrėnų sav.;26973.0;0–4;1057;0.5285;14255.2305;12717.7695
172;2006;Elektrėnų sav.;26973.0;5–9;975;0.4875;13149.3375;13823.6625
173;2006;Elektrėnų sav.;26973.0;10–14;948;0.474;12785.202;14187.798
174;2006;Elektrėnų sav.;26973.0;15–19;936;0.468;12623.364000000001;14349.635999999999
175;2006;Elektrėnų sav.;26973.0;20–24;910;0.455;12272.715;14700.285
176;2006;Elektrėnų sav.;26973.0;25–29;948;0.474;12785.202;14187.798
177;2006;Elektrėnų sav.;26973.0;30–34;1007;0.5035;13580.905499999999;13392.094500000001
178;2006;Elektrėnų sav.;26973.0;35–39;1026;0.513;13837.149;13135.851
179;2006;Elektrėnų sav.;26973.0;40–44;1042;0.521;14052.933;12920.067
180;2006;Elektrėnų sav.;26973.0;45–49;1071;0.5355;14444.0415;12528.9585
181;2006;Elektrėnų sav.;26973.0;50–54;1114;0.557;15023.961000000001;11949.038999999999
182;2006;Elektrėnų sav.;26973.0;55–59;1168;0.584;15752.231999999998;11220.768000000002
183;2006;Elektrėnų sav.;26973.0;60–64;1328;0.664;17910.072;9062.928
184;2006;Elektrėnų sav.;26973.0;65–69;1365;0.6825;18409.0725;8563.927500000002
185;2006;Elektrėnų sav.;26973.0;70–74;1890;0.945;25489.484999999997;1483.515000000003
186;2006;Elektrėnų sav.;26973.0;75 ir vyresni;2579;1.2895;34781.6835;-7808.683499999999
187;2007;Elektrėnų sav.;26654.0;Iš viso pagal amžių;1128;0.564;15032.855999999998;11621.144000000002
188;2007;Elektrėnų sav.;26654.0;0–4;1018;0.509;13566.886;13087.114
189;2007;Elektrėnų sav.;26654.0;5–9;964;0.482;12847.228;13806.772
190;2007;Elektrėnų sav.;26654.0;10–14;975;0.4875;12993.824999999999;13660.175000000001
191;2007;Elektrėnų sav.;26654.0;15–19;929;0.4645;12380.783000000001;14273.216999999999
192;2007;Elektrėnų sav.;26654.0;20–24;946;0.473;12607.341999999999;14046.658000000001
193;2007;Elektrėnų sav.;26654.0;25–29;872;0.436;11621.144;15032.856
194;2007;Elektrėnų sav.;26654.0;30–34;1000;0.5;13327.0;13327.0
195;2007;Elektrėnų sav.;26654.0;35–39;1067;0.5335;14219.909;12434.091
196;2007;Elektrėnų sav.;26654.0;40–44;1018;0.509;13566.886;13087.114
197;2007;Elektrėnų sav.;26654.0;45–49;1072;0.536;14286.544000000002;12367.455999999998
198;2007;Elektrėnų sav.;26654.0;50–54;1074;0.537;14313.198;12340.802
199;2007;Elektrėnų sav.;26654.0;55–59;1214;0.607;16178.978;10475.022
200;2007;Elektrėnų sav.;26654.0;60–64;1368;0.684;18231.336000000003;8422.663999999997
201;2007;Elektrėnų sav.;26654.0;65–69;1339;0.6695;17844.853;8809.147
202;2007;Elektrėnų sav.;26654.0;70–74;1809;0.9045;24108.542999999998;2545.457000000002
203;2007;Elektrėnų sav.;26654.0;75 ir vyresni;2566;1.283;34197.081999999995;-7543.081999999995
204;2008;Elektrėnų sav.;26338.0;Iš viso pagal amžių;1130;0.565;14880.97;11457.03
205;2008;Elektrėnų sav.;26338.0;0–4;970;0.485;12773.93;13564.07
206;2008;Elektrėnų sav.;26338.0;5–9;1016;0.508;13379.704;12958.296
207;2008;Elektrėnų sav.;26338.0;10–14;951;0.4755;12523.719;13814.281
208;2008;Elektrėnų sav.;26338.0;15–19;935;0.4675;12313.015000000001;14024.984999999999
209;2008;Elektrėnų sav.;26338.0;20–24;974;0.487;12826.606;13511.394
210;2008;Elektrėnų sav.;26338.0;25–29;823;0.4115;10838.087;15499.913
211;2008;Elektrėnų sav.;26338.0;30–34;945;0.4725;12444.705;13893.295
212;2008;Elektrėnų sav.;26338.0;35–39;1042;0.521;13722.098;12615.902
213;2008;Elektrėnų sav.;26338.0;40–44;1094;0.547;14406.886;11931.114
214;2008;Elektrėnų sav.;26338.0;45–49;1078;0.539;14196.182;12141.818
215;2008;Elektrėnų sav.;26338.0;50–54;1064;0.532;14011.816;12326.184
216;2008;Elektrėnų sav.;26338.0;55–59;1191;0.5955;15684.279;10653.721
217;2008;Elektrėnų sav.;26338.0;60–64;1353;0.6765;17817.657;8520.343
218;2008;Elektrėnų sav.;26338.0;65–69;1344;0.672;17699.136000000002;8638.863999999998
219;2008;Elektrėnų sav.;26338.0;70–74;1911;0.9555;25165.959;1172.041000000001
220;2008;Elektrėnų sav.;26338.0;75 ir vyresni;2484;1.242;32711.796;-6373.7959999999985
221;2009;Elektrėnų sav.;26041.0;Iš viso pagal amžių;1131;0.5655;14726.1855;11314.8145
222;2009;Elektrėnų sav.;26041.0;0–4;951;0.4755;12382.495499999999;13658.504500000001
223;2009;Elektrėnų sav.;26041.0;5–9;1044;0.522;13593.402;12447.598
224;2009;Elektrėnų sav.;26041.0;10–14;937;0.4685;12200.2085;13840.7915
