Laikotarpis;Rodiklis;Gyvenamoji vietovė;Matavimo vienetai;Reikšmė
1999;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas ir kaimas;m²;21
1999;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas;m²;20
1999;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Didieji miestai;m²;19
1999;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kiti miestai;m²;21
1999;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kaimas;m²;24
1998;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas ir kaimas;m²;21
1998;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas;m²;20
1998;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Didieji miestai;m²;19
1998;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kiti miestai;m²;21
1998;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kaimas;m²;24
1997;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas ir kaimas;m²;21
1997;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas;m²;19
1997;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Didieji miestai;m²;19
1997;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kiti miestai;m²;20
1997;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kaimas;m²;24
1996;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas ir kaimas;m²;20
1996;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas;m²;19
1996;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Didieji miestai;m²;18
1996;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kiti miestai;m²;20
1996;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kaimas;m²;24
