Laikotarpis;Rodiklis;Individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (COICOP);Gyvenamoji vietovė;Vartojimo išlaidos;Matavimo vienetai;Reikšmė
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas;Piniginės ir natūrinės išlaidos;EUR;49.6
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas;Piniginės ir natūrinės išlaidos;EUR;8.8
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas;Piniginės ir natūrinės išlaidos;EUR;10.3
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas;Piniginės ir natūrinės išlaidos;EUR;12.1
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas;Piniginės ir natūrinės išlaidos;EUR;16.1
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas;Piniginės ir natūrinės išlaidos;EUR;19.5
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas;Piniginės ir natūrinės išlaidos;EUR;16.4
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas;Piniginės ir natūrinės išlaidos;EUR;11.7
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas;Piniginės ir natūrinės išlaidos;EUR;17.5
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas;Piniginės ir natūrinės išlaidos;EUR;8.2
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas;Piniginės ir natūrinės išlaidos;EUR;8.9
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas;Piniginės ir natūrinės išlaidos;EUR;10.0
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas;Piniginės ir natūrinės išlaidos;EUR;10.5
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas;Piniginės ir natūrinės išlaidos;EUR;11.5
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas;Piniginės ir natūrinės išlaidos;EUR;13.4
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas;Piniginės ir natūrinės išlaidos;EUR;15.9
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas;Piniginės ir natūrinės išlaidos;EUR;21.5
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Miestas;Piniginės ir natūrinės išlaidos;EUR;15.9
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Miestas;Piniginės ir natūrinės išlaidos;EUR;17.2
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Miestas;Piniginės ir natūrinės išlaidos;EUR;19.1
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Miestas;Piniginės ir natūrinės išlaidos;EUR;26.4
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Miestas;Piniginės ir natūrinės išlaidos;EUR;31.2
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Miestas;Piniginės ir natūrinės išlaidos;EUR;29.4
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Miestas;Piniginės ir natūrinės išlaidos;EUR;26.6
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Miestas;Piniginės ir natūrinės išlaidos;EUR;32.7
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas;Piniginės ir natūrinės išlaidos;EUR;9.1
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas;Piniginės ir natūrinės išlaidos;EUR;9.2
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas;Piniginės ir natūrinės išlaidos;EUR;10.3
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas;Piniginės ir natūrinės išlaidos;EUR;10.9
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas;Piniginės ir natūrinės išlaidos;EUR;13.0
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas;Piniginės ir natūrinės išlaidos;EUR;12.0
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas;Piniginės ir natūrinės išlaidos;EUR;10.3
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Miestas;Piniginės ir natūrinės išlaidos;EUR;13.9
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas;Piniginės ir natūrinės išlaidos;EUR;9.2
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas;Piniginės ir natūrinės išlaidos;EUR;9.7
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas;Piniginės ir natūrinės išlaidos;EUR;11.7
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas;Piniginės ir natūrinės išlaidos;EUR;14.3
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas;Piniginės ir natūrinės išlaidos;EUR;18.1
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas;Piniginės ir natūrinės išlaidos;EUR;16.1
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas;Piniginės ir natūrinės išlaidos;EUR;14.3
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Miestas;Piniginės ir natūrinės išlaidos;EUR;22.5
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas;Piniginės ir natūrinės išlaidos;EUR;2.3
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas;Piniginės ir natūrinės išlaidos;EUR;2.5
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas;Piniginės ir natūrinės išlaidos;EUR;3.3
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas;Piniginės ir natūrinės išlaidos;EUR;2.8
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas;Piniginės ir natūrinės išlaidos;EUR;2.8
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas;Piniginės ir natūrinės išlaidos;EUR;2.4
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas;Piniginės ir natūrinės išlaidos;EUR;2.8
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Miestas;Piniginės ir natūrinės išlaidos;EUR;2.8
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Miestas;Piniginės ir natūrinės išlaidos;EUR;7.6
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Miestas;Piniginės ir natūrinės išlaidos;EUR;7.7
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Miestas;Piniginės ir natūrinės išlaidos;EUR;11.0
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Miestas;Piniginės ir natūrinės išlaidos;EUR;11.5
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Miestas;Piniginės ir natūrinės išlaidos;EUR;14.5
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Miestas;Piniginės ir natūrinės išlaidos;EUR;15.2
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Miestas;Piniginės ir natūrinės išlaidos;EUR;9.3
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Miestas;Piniginės ir natūrinės išlaidos;EUR;12.9
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Miestas;Piniginės ir natūrinės išlaidos;EUR;7.6
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Miestas;Piniginės ir natūrinės išlaidos;EUR;8.5
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Miestas;Piniginės ir natūrinės išlaidos;EUR;10.0
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Miestas;Piniginės ir natūrinės išlaidos;EUR;11.4
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Miestas;Piniginės ir natūrinės išlaidos;EUR;12.5
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Miestas;Piniginės ir natūrinės išlaidos;EUR;13.2
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Miestas;Piniginės ir natūrinės išlaidos;EUR;13.9
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Įvairios prekės ir paslaugos;Miestas;Piniginės ir natūrinės išlaidos;EUR;19.4
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;178.8
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;189.1
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;217.3
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;245.1
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;276.4
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;287.8
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;288.7
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;344.1
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;54.5
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;55.6
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;61.2
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;63.3
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;72.6
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;83.5
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;87.2
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;97.4
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;6.7
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;6.7
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;8.1
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;8.6
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;9.5
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;10.3
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;8.6
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;11.8
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;15.7
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;16.1
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;19.9
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;22.1
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;26.0
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;25.1
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;18.9
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;22.8
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;23.9
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;24.0
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;26.5
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;29.4
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;32.3
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;37.1
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;57.2
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;54.6
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;9.7
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;11.9
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;12.7
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;17.8
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;20.9
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;17.2
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;11.6
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;17.4
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;8.7
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;9.9
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;10.8
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;11.2
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;11.3
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;14.6
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;16.7
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;22.5
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;17.9
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;20.9
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;22.0
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;31.9
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;33.2
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;31.2
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;30.0
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Transportas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;36.5
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;10.3
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;10.3
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;11.7
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;12.2
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;14.5
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;13.3
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;11.0
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Ryšiai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;14.6
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;10.5
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;11.5
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;13.7
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;17.3
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;20.8
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;18.3
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;16.7
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Poilsis ir kultūra;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;25.8
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;3.0
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;3.1
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;4.2
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;3.2
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;3.1
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;2.7
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;3.2
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Švietimas;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;3.1
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;9.5
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Restoranai ir viešbučiai;Didieji miestai;Piniginės ir natūrinės išlaidos;EUR;9.5
