Laikotarpis;Rodiklis;Administracinė teritorija;Amžius;Matavimo vienetai;Reikšmė
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Sostinės regionas;Iš viso pagal amžių;asmenys;1192
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Sostinės regionas;Iš viso pagal amžių;asmenys;1191
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Sostinės regionas;Iš viso pagal amžių;asmenys;1191
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Sostinės regionas;Iš viso pagal amžių;asmenys;1189
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Sostinės regionas;Iš viso pagal amžių;asmenys;1193
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Sostinės regionas;Iš viso pagal amžių;asmenys;1188
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Sostinės regionas;Iš viso pagal amžių;asmenys;1180
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Sostinės regionas;Iš viso pagal amžių;asmenys;1167
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1148
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1152
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1155
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1157
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1160
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1162
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1165
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1167
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1169
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1170
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1173
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1176
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1180
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1181
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1188
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1191
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1192
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1191
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1191
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Vilniaus apskritis;Iš viso pagal amžių;asmenys;1189
