Laikotarpis;Rodiklis;Administracinė teritorija;Amžius;Matavimo vienetai;Reikšmė
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Prienų r. sav.;20–24;asmenys;860
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Prienų r. sav.;20–24;asmenys;865
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Prienų r. sav.;20–24;asmenys;919
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Prienų r. sav.;20–24;asmenys;980
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Prienų r. sav.;20–24;asmenys;970
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Prienų r. sav.;20–24;asmenys;966
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Prienų r. sav.;20–24;asmenys;923
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Prienų r. sav.;20–24;asmenys;843
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Prienų r. sav.;20–24;asmenys;882
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Prienų r. sav.;20–24;asmenys;841
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Prienų r. sav.;20–24;asmenys;842
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Prienų r. sav.;20–24;asmenys;891
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Prienų r. sav.;20–24;asmenys;929
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Prienų r. sav.;20–24;asmenys;889
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Prienų r. sav.;20–24;asmenys;850
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Prienų r. sav.;20–24;asmenys;850
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;835
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;843
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;821
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;845
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;855
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;882
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;887
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;934
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;939
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;949
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;874
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;902
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;888
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;876
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;905
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;927
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;954
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;952
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Raseinių r. sav.;20–24;asmenys;917
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;1021
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;1023
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;1025
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;1029
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;1023
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;1005
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;991
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;976
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;971
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;965
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;967
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;979
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;983
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;981
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;981
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;992
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;985
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;959
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;952
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;950
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;956
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;955
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;967
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos apskritis;20–24;asmenys;951
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;1097
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;1082
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;1063
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;1024
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;1021
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;1005
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;1005
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;1008
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;1011
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;1004
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;1103
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;1110
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;1063
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;1058
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;1071
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;1074
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;1020
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;1045
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos m. sav.;20–24;asmenys;1015
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;976
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;956
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;965
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;961
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;936
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;948
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;975
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;952
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;952
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;961
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;910
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;854
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;838
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;844
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;831
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;811
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;878
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;923
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Klaipėdos r. sav.;20–24;asmenys;893
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;923
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;937
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;936
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;944
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;972
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;991
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;980
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;986
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;976
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;984
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;910
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;898
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;893
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;925
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;942
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;963
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;973
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;993
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Kretingos r. sav.;20–24;asmenys;948
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;719
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;884
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;806
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;942
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;931
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;1000
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;921
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;987
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;1111
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;1155
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;1081
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;976
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;1049
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;1047
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;969
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;895
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;826
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;768
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Neringos sav.;20–24;asmenys;775
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;881
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;813
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;814
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;892
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;872
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;842
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;873
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;890
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;879
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;891
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;917
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;962
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;929
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;857
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;874
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;968
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;1013
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;1034
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Palangos m. sav.;20–24;asmenys;1013
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;810
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;762
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;756
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;812
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;842
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;858
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;919
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;926
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;921
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;953
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;800
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;800
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;833
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;819
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;764
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;780
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;825
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;795
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Skuodo r. sav.;20–24;asmenys;840
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;862
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;853
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;826
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;888
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;869
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;927
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;961
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;991
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;983
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;971
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;891
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;894
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;895
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;872
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;871
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;910
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;923
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;886
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Šilutės r. sav.;20–24;asmenys;920
