;Laikotarpis;Administracinė teritorija;population;Amžius;women;proportion;population_women;population_men;possibility;group;men_proportion;group_men;age_woman;age_men
118;2002;Elektrėnų sav.;28576.0;75 ir vyresni;2478;1.239;35405.664000000004;-6829.664000000004;0.0625;0.0774375;0.2390000000000001;0.014937500000000006;2212.8540000000003;426.85400000000016
119;2003;Elektrėnų sav.;28333.0;Iš viso pagal amžių;1104;0.552;15639.816;12693.184;0.0625;0.0345;0.44799999999999995;0.027999999999999997;977.4885;793.324
120;2003;Elektrėnų sav.;28333.0;0–4;997;0.4985;14124.0005;14208.9995;0.0625;0.03115625;0.5015000000000001;0.031343750000000004;882.75003125;888.0624687500001
121;2003;Elektrėnų sav.;28333.0;5–9;951;0.4755;13472.341499999999;14860.658500000001;0.0625;0.02971875;0.5245;0.03278125;842.0213437499999;928.79115625
122;2003;Elektrėnų sav.;28333.0;10–14;906;0.453;12834.849;15498.151;0.0625;0.0283125;0.5469999999999999;0.034187499999999996;802.1780625;968.6344374999999
123;2003;Elektrėnų sav.;28333.0;15–19;977;0.4885;13840.6705;14492.3295;0.0625;0.03053125;0.5115000000000001;0.031968750000000004;865.04190625;905.7705937500001
124;2003;Elektrėnų sav.;28333.0;20–24;854;0.427;12098.190999999999;16234.809000000001;0.0625;0.0266875;0.573;0.0358125;756.1369374999999;1014.6755625
125;2003;Elektrėnų sav.;28333.0;25–29;928;0.464;13146.512;15186.488;0.0625;0.029;0.536;0.0335;821.657;949.1555000000001
126;2003;Elektrėnų sav.;28333.0;30–34;1000;0.5;14166.5;14166.5;0.0625;0.03125;0.5;0.03125;885.40625;885.40625
127;2003;Elektrėnų sav.;28333.0;35–39;1019;0.5095;14435.663499999999;13897.336500000001;0.0625;0.03184375;0.49050000000000005;0.030656250000000003;902.2289687499999;868.5835312500001
128;2003;Elektrėnų sav.;28333.0;40–44;1056;0.528;14959.824;13373.176;0.0625;0.033;0.472;0.0295;934.989;835.8235
129;2003;Elektrėnų sav.;28333.0;45–49;1017;0.5085;14407.330499999998;13925.669500000002;0.0625;0.03178125;0.49150000000000005;0.030718750000000003;900.4581562499999;870.3543437500001
130;2003;Elektrėnų sav.;28333.0;50–54;1155;0.5775;16362.3075;11970.6925;0.0625;0.03609375;0.4225;0.02640625;1022.64421875;748.16828125
131;2003;Elektrėnų sav.;28333.0;55–59;1254;0.627;17764.791;10568.208999999999;0.0625;0.0391875;0.373;0.0233125;1110.2994375;660.5130625
132;2003;Elektrėnų sav.;28333.0;60–64;1212;0.606;17169.798;11163.202000000001;0.0625;0.037875;0.394;0.024625;1073.112375;697.7001250000001
133;2003;Elektrėnų sav.;28333.0;65–69;1542;0.771;21844.743000000002;6488.256999999998;0.0625;0.0481875;0.22899999999999998;0.014312499999999999;1365.2964375000001;405.5160625
134;2003;Elektrėnų sav.;28333.0;70–74;1714;0.857;24281.381;4051.618999999999;0.0625;0.0535625;0.14300000000000002;0.008937500000000001;1517.5863125;253.22618750000004
135;2003;Elektrėnų sav.;28333.0;75 ir vyresni;2534;1.267;35897.911;-7564.911;0.0625;0.0791875;0.2669999999999999;0.016687499999999994;2243.6194375;472.80693749999983
136;2004;Elektrėnų sav.;28015.0;Iš viso pagal amžių;1109;0.5545;15534.3175;12480.6825;0.0625;0.03465625;0.4455;0.02784375;970.89484375;780.04265625
137;2004;Elektrėnų sav.;28015.0;0–4;1039;0.5195;14553.7925;13461.2075;0.0625;0.03246875;0.48050000000000004;0.030031250000000002;909.61203125;841.32546875
138;2004;Elektrėnų sav.;28015.0;5–9;932;0.466;13054.990000000002;14960.009999999998;0.0625;0.029125;0.534;0.033375;815.9368750000001;935.000625
139;2004;Elektrėnų sav.;28015.0;10–14;927;0.4635;12984.952500000001;15030.047499999999;0.0625;0.02896875;0.5365;0.03353125;811.5595312500001;939.3779687499999
140;2004;Elektrėnų sav.;28015.0;15–19;966;0.483;13531.244999999999;14483.755000000001;0.0625;0.0301875;0.517;0.0323125;845.7028124999999;905.2346875000001
141;2004;Elektrėnų sav.;28015.0;20–24;853;0.4265;11948.3975;16066.6025;0.0625;0.02665625;0.5735;0.03584375;746.77484375;1004.16265625
142;2004;Elektrėnų sav.;28015.0;25–29;913;0.4565;12788.8475;15226.1525;0.0625;0.02853125;0.5435;0.03396875;799.30296875;951.63453125
143;2004;Elektrėnų sav.;28015.0;30–34;1005;0.5025;14077.537499999999;13937.462500000001;0.0625;0.03140625;0.49750000000000005;0.031093750000000003;879.8460937499999;871.0914062500001
144;2004;Elektrėnų sav.;28015.0;35–39;1025;0.5125;14357.687499999998;13657.312500000002;0.0625;0.03203125;0.48750000000000004;0.030468750000000003;897.3554687499999;853.5820312500001
145;2004;Elektrėnų sav.;28015.0;40–44;1063;0.5315;14889.9725;13125.0275;0.0625;0.03321875;0.4685;0.02928125;930.62328125;820.31421875
146;2004;Elektrėnų sav.;28015.0;45–49;1029;0.5145;14413.717499999999;13601.282500000001;0.0625;0.03215625;0.48550000000000004;0.030343750000000003;900.8573437499999;850.0801562500001
147;2004;Elektrėnų sav.;28015.0;50–54;1099;0.5495;15394.2425;12620.7575;0.0625;0.03434375;0.4505;0.02815625;962.14015625;788.79734375
148;2004;Elektrėnų sav.;28015.0;55–59;1171;0.5855;16402.7825;11612.217499999999;0.0625;0.03659375;0.4145;0.02590625;1025.17390625;725.7635937499999
149;2004;Elektrėnų sav.;28015.0;60–64;1283;0.6415;17971.622499999998;10043.377500000002;0.0625;0.04009375;0.35850000000000004;0.022406250000000003;1123.2264062499999;627.71109375
150;2004;Elektrėnų sav.;28015.0;65–69;1477;0.7385;20689.077500000003;7325.922499999997;0.0625;0.04615625;0.26149999999999995;0.016343749999999997;1293.0673437500002;457.8701562499999
151;2004;Elektrėnų sav.;28015.0;70–74;1765;0.8825;24723.2375;3291.7625000000007;0.0625;0.05515625;0.11750000000000005;0.007343750000000003;1545.20234375;205.73515625000007
152;2004;Elektrėnų sav.;28015.0;75 ir vyresni;2684;1.342;37596.130000000005;-9581.130000000005;0.0625;0.083875;0.3420000000000001;0.021375000000000005;2349.7581250000003;598.8206250000002
153;2005;Elektrėnų sav.;27649.0;Iš viso pagal amžių;1112;0.556;15372.844000000001;12276.155999999999;0.0625;0.03475;0.44399999999999995;0.027749999999999997;960.8027500000001;767.2597499999999
154;2005;Elektrėnų sav.;27649.0;0–4;1084;0.542;14985.758000000002;12663.241999999998;0.0625;0.033875;0.45799999999999996;0.028624999999999998;936.6098750000001;791.4526249999999
155;2005;Elektrėnų sav.;27649.0;5–9;924;0.462;12773.838;14875.162;0.0625;0.028875;0.538;0.033625;798.364875;929.697625
156;2005;Elektrėnų sav.;27649.0;10–14;948;0.474;13105.626;14543.374;0.0625;0.029625;0.526;0.032875;819.101625;908.960875
157;2005;Elektrėnų sav.;27649.0;15–19;957;0.4785;13230.0465;14418.9535;0.0625;0.02990625;0.5215000000000001;0.032593750000000005;826.87790625;901.1845937500001
158;2005;Elektrėnų sav.;27649.0;20–24;825;0.4125;11405.2125;16243.7875;0.0625;0.02578125;0.5875;0.03671875;712.82578125;1015.23671875
159;2005;Elektrėnų sav.;27649.0;25–29;944;0.472;13050.328;14598.672;0.0625;0.0295;0.528;0.033;815.6455;912.417
160;2005;Elektrėnų sav.;27649.0;30–34;994;0.497;13741.553;13907.447;0.0625;0.0310625;0.503;0.0314375;858.8470625;869.2154375
161;2005;Elektrėnų sav.;27649.0;35–39;1036;0.518;14322.182;13326.818;0.0625;0.032375;0.482;0.030125;895.136375;832.926125
162;2005;Elektrėnų sav.;27649.0;40–44;1046;0.523;14460.427;13188.573;0.0625;0.0326875;0.477;0.0298125;903.7766875;824.2858125
163;2005;Elektrėnų sav.;27649.0;45–49;1048;0.524;14488.076000000001;13160.923999999999;0.0625;0.03275;0.476;0.02975;905.5047500000001;822.5577499999999
164;2005;Elektrėnų sav.;27649.0;50–54;1094;0.547;15124.003;12524.997;0.0625;0.0341875;0.45299999999999996;0.028312499999999997;945.2501875;782.8123125
165;2005;Elektrėnų sav.;27649.0;55–59;1159;0.5795;16022.595500000001;11626.404499999999;0.0625;0.03621875;0.4205;0.02628125;1001.4122187500001;726.6502812499999
166;2005;Elektrėnų sav.;27649.0;60–64;1310;0.655;18110.095;9538.904999999999;0.0625;0.0409375;0.345;0.0215625;1131.8809375;596.1815624999999
167;2005;Elektrėnų sav.;27649.0;65–69;1442;0.721;19934.929;7714.071;0.0625;0.0450625;0.279;0.0174375;1245.9330625;482.12943750000005
168;2005;Elektrėnų sav.;27649.0;70–74;1706;0.853;23584.596999999998;4064.403000000002;0.0625;0.0533125;0.14700000000000002;0.009187500000000001;1474.0373124999999;254.02518750000004
169;2005;Elektrėnų sav.;27649.0;75 ir vyresni;2668;1.334;36883.766;-9234.766000000003;0.0625;0.083375;0.3340000000000001;0.020875000000000005;2305.235375;577.1728750000001
170;2006;Elektrėnų sav.;26973.0;Iš viso pagal amžių;1128;0.564;15212.771999999999;11760.228000000001;0.0625;0.03525;0.43600000000000005;0.027250000000000003;950.7982499999999;735.0142500000001
171;2006;Elektrėnų sav.;26973.0;0–4;1057;0.5285;14255.2305;12717.7695;0.0625;0.03303125;0.47150000000000003;0.029468750000000002;890.95190625;794.86059375
172;2006;Elektrėnų sav.;26973.0;5–9;975;0.4875;13149.3375;13823.6625;0.0625;0.03046875;0.5125;0.03203125;821.83359375;863.9789062499999
173;2006;Elektrėnų sav.;26973.0;10–14;948;0.474;12785.202;14187.798;0.0625;0.029625;0.526;0.032875;799.075125;886.737375
