Laikotarpis;Rodiklis;Administracinė teritorija;Matavimo vienetai;Reikšmė
1993;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;
1994;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;
1995;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;
1996;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;
1997;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;8.6
1998;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;7.6
1999;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;8.8
2000;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;10.6
2001;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;11.8
2002;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;9.2
2003;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;6.9
2004;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;6.0
2005;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;4.1
2006;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;3.3
2007;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;2.8
2008;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;3.0
2009;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;10.3
2010;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;17.4
2011;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;11.3
2012;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;11.1
2013;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;10.6
2014;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;8.4
2015;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;8.2
2016;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;8.0
2017;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;8.1
2018;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Širvintų r. sav.;proc.;8.8
1993;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;
1994;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;
1995;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;
1996;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;
1997;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;8.8
1998;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;9.0
1999;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;10.7
2000;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;14.5
2001;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;15.5
2002;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;14.2
2003;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Švenčionių r. sav.;proc.;12.1
