id;street;purpose;area;area_useful;year;year_renov;renov_status;efficiency;no_flats;not_living_flats;land;house
4105;Mindaugog.;Gyvenamoji (trys ir daugiau butų);402.83;372.86;1940.0;;Nerenovuotas;;7.0;1.0;0.0;12B
4106;Mindaugog.;Gyvenamoji (trys ir daugiau butų);1472.45;949.76;1940.0;;Nerenovuotas;;24.0;2.0;0.0;12E
4107;Naugardukog.;Gyvenamoji (trys ir daugiau butų);1243.0;1003.57;1940.0;;Nerenovuotas;;15.0;4.0;0.0;8
4108;Odminiųg.;Gyvenamoji (trys ir daugiau butų);1016.57;527.38;1940.0;;Nerenovuotas;;5.0;3.0;0.0;1
4109;Odminiųg.;Gyvenamoji (trys ir daugiau butų);630.74;493.93;1940.0;;Nerenovuotas;;6.0;2.0;0.0;15
4110;Odminiųg.;Gyvenamoji (trys ir daugiau butų);727.23;698.56;1940.0;;Nerenovuotas;;10.0;0.0;0.0;1A
4111;Olandųg.;Gyvenamoji (trys ir daugiau butų);263.2;263.2;1940.0;;Nerenovuotas;;6.0;0.0;0.14;21
4112;P.Višinskiog.;Gyvenamoji (trys ir daugiau butų);534.48;534.48;1940.0;;Nerenovuotas;;7.0;0.0;0.0;27
4113;Palangosg.;Gyvenamoji (trys ir daugiau butų);3562.11;2119.17;1940.0;;Nerenovuotas;;34.0;9.0;0.0;2
4114;Paupiog.;Gyvenamoji (trys ir daugiau butų);474.86;404.0;1940.0;;Nerenovuotas;;8.0;1.0;0.0;10
4115;Paupiog.;Gyvenamoji (trys ir daugiau butų);575.98;501.36;1940.0;;Nerenovuotas;;9.0;1.0;0.0;11
4116;Paupiog.;Gyvenamoji (trys ir daugiau butų);781.5;557.95;1940.0;;Nerenovuotas;;13.0;1.0;0.0;17
4117;Paupiog.;Gyvenamoji (trys ir daugiau butų);155.55;155.55;1940.0;;Nerenovuotas;;3.0;0.0;0.0;17
