id;street;purpose;area;area_useful;year;year_renov;renov_status;efficiency;no_flats;not_living_flats;land;house
1;A.Goštautog.;Gyvenamoji (trys ir daugiau butų);6607.43;4360.68;1960.0;;Nerenovuotas;;53.0;4.0;0.0;2
2;A.Goštautog.;Gyvenamoji (trys ir daugiau butų);4304.17;2771.57;1957.0;;Nerenovuotas;;38.0;14.0;0.15;3
3;A.Jakštog.;Gyvenamoji (trys ir daugiau butų);182.92;123.47;1940.0;;Nerenovuotas;;2.0;2.0;0.0;11
4;A.Jakštog.;Gyvenamoji (trys ir daugiau butų);600.71;0.0;1938.0;;Nerenovuotas;;4.0;3.0;0.0;2
5;A.Jakštog.;Gyvenamoji (trys ir daugiau butų);0.0;3531.56;2006.0;;Nerenovuotas;;40.0;8.0;0.15;6A
6;A.Juozapavičiausg.;Gyvenamoji (trys ir daugiau butų);984.89;612.82;1940.0;2017.0;Renovuotas;;10.0;3.0;0.0;10
7;A.Juozapavičiausg.;Gyvenamoji (trys ir daugiau butų);1681.36;0.0;1955.0;2017.0;Renovuotas;D;18.0;5.0;0.0;28
8;A.Kojelavičiausg.;Gyvenamoji (trys ir daugiau butų);1070.69;622.45;1959.0;;Renovuojamas;;13.0;1.0;0.0;45
9;A.Kojelavičiausg.;Gyvenamoji (trys ir daugiau butų);0.0;615.3;1953.0;;Nerenovuotas;;11.0;1.0;0.2;92
10;A.Mickevičiausg.;Gyvenamoji (trys ir daugiau butų);0.0;2489.03;1972.0;;Nerenovuotas;E;24.0;0.0;0.0;32
11;A.Paškevič-Ciotkosg.;Gyvenamoji (trys ir daugiau butų);1465.63;1176.41;1996.0;;Nerenovuotas;;19.0;0.0;0.0;15
12;A.Paškevič-Ciotkosg.;Gyvenamoji (trys ir daugiau butų);1254.73;957.28;1995.0;;Nerenovuotas;;15.0;0.0;0.0;15
13;A.Paškevič-Ciotkosg.;Gyvenamoji (trys ir daugiau butų);3398.95;2938.59;1994.0;;Nerenovuotas;;48.0;0.0;0.0;20
14;A.Rotundog.;Gyvenamoji (trys ir daugiau butų);5171.85;2848.99;2008.0;;Nerenovuotas;;31.0;7.0;0.18;4A
15;A.Rotundog.;Gyvenamoji (trys ir daugiau butų);1603.48;1224.79;1901.0;;Nerenovuotas;;10.0;3.0;0.0;5
16;A.Strazdeliog.;Gyvenamoji (trys ir daugiau butų);2410.56;1983.27;1940.0;;Nerenovuotas;D;27.0;4.0;0.0;1
17;A.Strazdeliog.;Gyvenamoji (trys ir daugiau butų);1213.4;966.56;1940.0;;Nerenovuotas;;13.0;1.0;0.0;4
18;A.Vienuoliog.;Gyvenamoji (trys ir daugiau butų);0.0;2986.91;1961.0;;Nerenovuotas;;51.0;12.0;0.0;14
19;A.Vivulskiog.;Gyvenamoji (trys ir daugiau butų);0.0;0.0;1955.0;;Nerenovuotas;;33.0;7.0;0.0;16
20;A.Vivulskiog.;Gyvenamoji (trys ir daugiau butų);0.0;3178.9;1958.0;;Nerenovuotas;;46.0;6.0;0.0;20
21;A.Vivulskiog.;Gyvenamoji (trys ir daugiau butų);1113.06;806.93;1940.0;;Nerenovuotas;;11.0;1.0;0.0;27
22;A.Vivulskiog.;Gyvenamoji (trys ir daugiau butų);808.15;363.99;1940.0;;Nerenovuotas;;7.0;10.0;0.58;3
23;A.Vivulskiog.;Gyvenamoji (įvairioms socialinėms grupėms);2933.44;2262.93;1974.0;;Nerenovuotas;;84.0;0.0;0.0;35
24;A.Vivulskiog.;Gyvenamoji (trys ir daugiau butų);1935.4;1387.75;1940.0;;Nerenovuotas;;19.0;3.0;0.0;4
25;Adutiškiog.;Gyvenamoji (įvairioms socialinėms grupėms);1622.03;1304.93;1940.0;2016.0;Renovuotas;B;29.0;1.0;0.0;5
26;Aguonųg.;Gyvenamoji (trys ir daugiau butų);2423.4;1940.86;1958.0;;Nerenovuotas;;71.0;0.0;0.0;20
27;Akmenųg.;Gyvenamoji (trys ir daugiau butų);1932.25;1638.42;1968.0;;Nerenovuotas;;20.0;0.0;0.0;1
28;Algirdog.;Gyvenamoji (trys ir daugiau butų);407.92;257.68;1940.0;;Nerenovuotas;B;6.0;3.0;0.0;53
29;Antakalniog.;Gyvenamoji (trys ir daugiau butų);1548.45;1103.96;1940.0;;Nerenovuotas;;17.0;3.0;0.0;30
30;Antakalniog.;Gyvenamoji (trys ir daugiau butų);4959.17;0.0;1975.0;2016.0;Renovuotas;B;61.0;2.0;0.0;50
31;Antakalniog.;Gyvenamoji (trys ir daugiau butų);0.0;1724.56;1963.0;;Nerenovuotas;;40.0;1.0;0.0;58
32;Antakalniog.;Gyvenamoji (trys ir daugiau butų);2331.87;1775.71;1968.0;;Nerenovuotas;;32.0;1.0;0.0;62
33;Antakalniog.;Gyvenamoji (trys ir daugiau butų);3612.65;3220.06;1968.0;;Nerenovuotas;;107.0;1.0;0.0;68
34;Antakalniog.;Gyvenamoji (trys ir daugiau butų);2072.99;0.0;1963.0;2007.0;Renovuotas;;40.0;1.0;0.0;69
35;Antakalniog.;Gyvenamoji (trys ir daugiau butų);0.0;3144.84;1964.0;2006.0;Dalinė renovacija;;55.0;0.0;0.0;83
36;Antakalniog.;Gyvenamoji (trys ir daugiau butų);0.0;999.48;2001.0;;Nerenovuotas;;16.0;16.0;0.0;84
37;Antakalniog.;Gyvenamoji (trys ir daugiau butų);3568.32;2573.03;2002.0;;Nerenovuotas;;36.0;16.0;0.0;84
38;Antakalniog.;Gyvenamoji (trys ir daugiau butų);2881.47;2469.62;1964.0;;Nerenovuotas;;61.0;0.0;0.0;85
39;Antakalniog.;Gyvenamoji (trys ir daugiau butų);0.0;651.39;1960.0;;Nerenovuotas;;12.0;0.0;0.0;89
40;Antakalniog.;Gyvenamoji (trys ir daugiau butų);2333.78;0.0;1967.0;;Nerenovuotas;;32.0;1.0;0.0;90
41;Antakalniog.;Gyvenamoji (trys ir daugiau butų);3097.27;2602.02;1966.0;;Galimai renovuotųsi;;45.0;1.0;0.0;95
42;Antakalniog.;Gyvenamoji (trys ir daugiau butų);3480.73;3133.47;1968.0;;Renovuojamas;E;108.0;1.0;0.0;96
43;Antakalniog.;Gyvenamoji (trys ir daugiau butų);3081.05;2626.25;1966.0;;Nerenovuotas;;45.0;3.0;0.0;97
44;AntanoTumėnog.;Gyvenamoji (trys ir daugiau butų);14701.18;3714.93;2007.0;;Nerenovuotas;;24.0;38.0;0.0;4
45;Architektųg.;Gyvenamoji (trys ir daugiau butų);5968.56;0.0;1970.0;;Nerenovuotas;D;90.0;0.0;0.0;105
46;Architektųg.;Gyvenamoji (trys ir daugiau butų);6263.1;0.0;1971.0;2010.0;Renovuotas;C;108.0;1.0;0.0;132
47;Architektųg.;Gyvenamoji (trys ir daugiau butų);0.0;3270.5;1971.0;;Nerenovuotas;;60.0;0.0;0.0;168
48;Architektųg.;Gyvenamoji (trys ir daugiau butų);0.0;8259.34;1971.0;;Nerenovuotas;;151.0;0.0;0.0;176
49;Architektųg.;Gyvenamoji (trys ir daugiau butų);0.0;5698.63;1974.0;;Nerenovuotas;;109.0;0.0;0.0;180
50;Architektųg.;Gyvenamoji (trys ir daugiau butų);7839.28;6543.49;1970.0;;Nerenovuotas;;121.0;0.0;0.0;194
51;Architektųg.;Gyvenamoji (trys ir daugiau butų);3822.09;3204.94;1970.0;;Nerenovuotas;;60.0;0.0;0.0;196
52;Architektųg.;Gyvenamoji (trys ir daugiau butų);3825.47;3205.7;1971.0;;Nerenovuotas;;60.0;0.0;0.0;200
53;Architektųg.;Gyvenamoji (trys ir daugiau butų);5980.2;4989.5;1970.0;;Nerenovuotas;;90.0;0.0;0.66;212
54;Architektųg.;Gyvenamoji (trys ir daugiau butų);3568.55;3298.33;1972.0;;Nerenovuotas;F;62.0;1.0;0.0;220
55;Architektųg.;Gyvenamoji (trys ir daugiau butų);2057.5;1725.82;1969.0;;Nerenovuotas;;30.0;0.0;0.0;27
56;Architektųg.;Gyvenamoji (trys ir daugiau butų);0.0;5154.15;1970.0;;Nerenovuotas;;90.0;0.0;0.0;51
57;Architektųg.;Gyvenamoji (trys ir daugiau butų);6174.0;0.0;1970.0;;Nerenovuotas;;108.0;0.0;0.0;64
58;Architektųg.;Gyvenamoji (trys ir daugiau butų);6237.13;5731.41;1980.0;;Nerenovuotas;D;3.0;0.0;0.0;67
59;Architektųg.;Gyvenamoji (trys ir daugiau butų);6127.47;5734.22;1984.0;2008.0;Renovuotas;;64.0;1.0;0.0;91
60;Ateitiesg.;Gyvenamoji (trys ir daugiau butų);1994.25;1766.51;1986.0;;Nerenovuotas;;30.0;0.0;0.0;3
61;Ateitiesg.;Gyvenamoji (trys ir daugiau butų);1947.75;0.0;1985.0;;Nerenovuotas;C;30.0;0.0;0.0;5
62;Ateitiesg.;Gyvenamoji (trys ir daugiau butų);2429.15;2202.5;1981.0;;Nerenovuotas;D;38.0;0.0;0.0;7
63;Ateitiesg.;Gyvenamoji (trys ir daugiau butų);8784.89;7323.64;2002.0;;Nerenovuotas;;104.0;45.0;0.0;77
64;AušrosVartųg.;Gyvenamoji (trys ir daugiau butų);1555.62;1287.18;1940.0;;Nerenovuotas;;23.0;3.0;0.0;20
65;AušrosVartųg.;Gyvenamoji (trys ir daugiau butų);202.82;130.74;1940.0;;Nerenovuotas;;3.0;2.0;0.0;7C
66;Avižųg.;Gyvenamoji (trys ir daugiau butų);1306.73;1283.95;2002.0;;Nerenovuotas;;19.0;4.0;0.0;2
67;Bajorųkelias;Gyvenamoji (trys ir daugiau butų);7818.22;6177.83;2008.0;;Nerenovuotas;C;82.0;1.0;0.41;19
68;Bajorųkelias;Gyvenamoji (trys ir daugiau butų);2845.7;2246.42;2013.0;;Nerenovuotas;A;44.0;19.0;0.7;9
69;BaltosiosVokėsg.;Gyvenamoji (įvairioms socialinėms grupėms);2508.47;2178.65;1980.0;;Nerenovuotas;;78.0;1.0;0.0;4
70;Baltupiog.;Gyvenamoji (trys ir daugiau butų);2786.05;0.0;1997.0;;Nerenovuotas;;35.0;0.0;0.0;73
71;Balžiog.;Gyvenamoji (trys ir daugiau butų);2057.23;1969.83;1960.0;;Nerenovuotas;;13.0;0.0;0.0;21
72;Bazilijonųg.;Gyvenamoji (trys ir daugiau butų);664.21;447.81;1940.0;;Nerenovuotas;;9.0;0.0;0.0;8
73;Beržynog.;Gyvenamoji (vieno buto pastatai);368.02;278.02;1960.0;;Nerenovuotas;F;1.0;0.0;0.0;4
74;Beržynog.;Gyvenamoji (trys ir daugiau butų);3255.33;2705.87;1968.0;;Nerenovuotas;;40.0;0.0;0.0;7
75;Birželio23-iosiosg.;Gyvenamoji (trys ir daugiau butų);5565.57;3206.45;2009.0;;Nerenovuotas;B;43.0;11.0;0.0;15
76;Bitėnųg.;Gyvenamoji (trys ir daugiau butų);3085.01;2377.62;2000.0;;Nerenovuotas;;28.0;28.0;0.0;10
77;Bitėnųg.;Gyvenamoji (trys ir daugiau butų);2560.76;1769.69;1994.0;;Nerenovuotas;;16.0;12.0;0.0;11
78;Bitėnųg.;Gyvenamoji (trys ir daugiau butų);0.0;2035.49;1996.0;;Nerenovuotas;;17.0;14.0;0.0;5
79;Bitėnųg.;Gyvenamoji (trys ir daugiau butų);0.0;2330.98;2000.0;;Nerenovuotas;;24.0;15.0;0.0;8
80;Bitininkųg.;Gyvenamoji (trys ir daugiau butų);4616.27;3717.89;1993.0;;Nerenovuotas;;41.0;0.0;0.0;14
81;Bitininkųg.;Gyvenamoji (trys ir daugiau butų);1959.28;0.0;1989.0;2016.0;Renovuotas;;30.0;0.0;0.0;2A
82;Blindžiųg.;Gyvenamoji (trys ir daugiau butų);2347.23;1853.35;1982.0;2009.0;Renovuotas;C;16.0;1.0;0.0;31
83;Blindžiųg.;Gyvenamoji (trys ir daugiau butų);2351.26;1846.23;1985.0;;Nerenovuotas;;16.0;0.0;0.0;35
84;Bokštog.;Gyvenamoji (trys ir daugiau butų);581.44;348.99;1940.0;;Nerenovuotas;;6.0;1.0;0.0;14
85;Braškiųg.;Gyvenamoji (trys ir daugiau butų);2977.38;2418.97;1996.0;;Nerenovuotas;;34.0;0.0;0.0;30
86;Broliųg.;Gyvenamoji (trys ir daugiau butų);1661.83;1081.94;1977.0;;Nerenovuotas;C;18.0;15.0;1.1;16
87;Buivydiškiųg.;Gyvenamoji (įvairioms socialinėms grupėms);7259.89;6119.49;1986.0;;Nerenovuotas;;110.0;5.0;0.45;6
88;M.Bukšosg.;Gyvenamoji (trys ir daugiau butų);853.38;547.29;1961.0;;Nerenovuotas;E;12.0;2.0;0.0;39
89;M.Bukšosg.;Gyvenamoji (trys ir daugiau butų);795.38;555.6;1983.0;;Nerenovuotas;;10.0;1.0;0.0;72
90;M.Bukšosg.;Gyvenamoji (trys ir daugiau butų);784.57;0.0;1986.0;2015.0;Renovuotas;B;10.0;1.0;0.0;78
91;Darbininkųg.;Gyvenamoji (trys ir daugiau butų);3088.1;3063.46;1965.0;2017.0;Renovuotas;E;124.0;0.0;0.51;19
92;DariausirGirėnog.;Gyvenamoji (trys ir daugiau butų);4503.1;4091.88;1975.0;2016.0;Renovuotas;;59.0;1.0;0.0;9
93;Daugėliškiog.;Gyvenamoji (trys ir daugiau butų);4362.44;2974.94;2004.0;;Nerenovuotas;;40.0;33.0;0.59;3
94;Debesijosg.;Gyvenamoji (trys ir daugiau butų);3604.25;2987.38;1973.0;;Nerenovuotas;;50.0;0.0;0.0;1
95;Didlaukiog.;Gyvenamoji (trys ir daugiau butų);2949.34;2718.25;1993.0;;Nerenovuotas;D;40.0;0.0;0.0;21
96;Didlaukiog.;Gyvenamoji (trys ir daugiau butų);2065.42;1727.7;1979.0;2007.0;Dalinė renovacija;;29.0;1.0;0.0;42
97;Didžiojig.;Gyvenamoji (trys ir daugiau butų);1136.29;777.63;1940.0;;Nerenovuotas;;7.0;1.0;0.07;14
98;Didžiojig.;Gyvenamoji (trys ir daugiau butų);1098.34;585.22;1940.0;;Nerenovuotas;;7.0;5.0;0.0;6
99;Džiaugsmog.;Gyvenamoji (trys ir daugiau butų);140.7;140.7;1940.0;;Nerenovuotas;;3.0;0.0;0.0;13
100;Džiaugsmog.;Gyvenamoji (trys ir daugiau butų);433.5;433.5;2008.0;;Nerenovuotas;;4.0;0.0;0.0;58B
101;Dzūkųg.;Gyvenamoji (trys ir daugiau butų);591.25;473.75;1952.0;;Nerenovuotas;;9.0;0.0;0.0;4
102;Egliųg.;Gyvenamoji (trys ir daugiau butų);1562.0;1052.87;2004.0;;Nerenovuotas;;20.0;1.0;0.0;33
103;Elniakampiog.;Gyvenamoji (trys ir daugiau butų);1414.58;963.67;1940.0;;Nerenovuotas;;11.0;13.0;0.0;12
104;Elniakampiog.;Gyvenamoji (trys ir daugiau butų);1732.16;0.0;2007.0;;Nerenovuotas;;7.0;1.0;0.0;19
105;Elniakampiog.;Gyvenamoji (trys ir daugiau butų);1663.59;1198.89;2012.0;;Nerenovuotas;;15.0;18.0;0.1;7
106;Fabijoniškiųg.;Gyvenamoji (trys ir daugiau butų);7724.82;7257.59;1995.0;;Nerenovuotas;;79.0;3.0;0.0;3
107;Fabijoniškiųg.;Gyvenamoji (trys ir daugiau butų);10171.88;7087.7;2015.0;;Nerenovuotas;B;127.0;2.0;0.0;3B
108;Fabijoniškiųg.;Gyvenamoji (trys ir daugiau butų);7571.6;7087.84;1994.0;;Nerenovuotas;D;80.0;1.0;0.0;95
109;Filaretųg.;Gyvenamoji (trys ir daugiau butų);7675.0;5599.55;2006.0;;Nerenovuotas;;77.0;24.0;0.0;35
110;Fizikųg.;Gyvenamoji (trys ir daugiau butų);6913.45;5372.61;2007.0;;Nerenovuotas;C;88.0;2.0;0.48;10
111;Fizikųg.;Gyvenamoji (trys ir daugiau butų);6952.7;5389.84;2008.0;;Nerenovuotas;C;80.0;2.0;0.48;16
112;Fizikųg.;Gyvenamoji (trys ir daugiau butų);4466.72;2659.27;2008.0;;Nerenovuotas;;48.0;1.0;0.57;4
113;Fizikųg.;Gyvenamoji (trys ir daugiau butų);5289.1;3105.9;2008.0;;Nerenovuotas;B;56.0;54.0;0.0;6
114;Gabijosg.;Gyvenamoji (trys ir daugiau butų);5516.42;5015.62;1995.0;;Nerenovuotas;;72.0;1.0;0.0;2
115;Gabijosg.;Gyvenamoji (trys ir daugiau butų);0.0;2496.4;2000.0;;Nerenovuotas;;44.0;14.0;0.0;2A
116;Gabijosg.;Gyvenamoji (trys ir daugiau butų);7819.3;0.0;1987.0;;Nerenovuotas;;108.0;0.0;0.0;31
117;Gabijosg.;Gyvenamoji (trys ir daugiau butų);2778.48;0.0;1987.0;;Nerenovuotas;;40.0;0.0;0.0;75
118;GailestingųjųSeserųg.;Gyvenamoji (trys ir daugiau butų);1669.94;0.0;2003.0;;Nerenovuotas;;15.0;2.0;0.0;10
119;GailestingųjųSeserųg.;Gyvenamoji (trys ir daugiau butų);82939.0;710.05;1994.0;;Nerenovuotas;;10.0;5.0;0.0;7
120;Gediminopr.;"Prekybos
";12893.06;5246.42;;;Nerenovuotas;;51.0;14.0;0.0;20
121;Gediminopr.;Gyvenamoji (trys ir daugiau butų);1726.57;902.42;1940.0;2005.0;Nerenovuotas;D;9.0;7.0;0.74;46
122;Gediminopr.;Gyvenamoji (trys ir daugiau butų);640.24;435.5;1940.0;2005.0;Nerenovuotas;D;6.0;2.0;0.74;46
123;Gediminopr.;Gyvenamoji (trys ir daugiau butų);247.03;157.65;1940.0;2005.0;Nerenovuotas;E;3.0;1.0;0.74;48
124;Gediminopr.;Gyvenamoji (trys ir daugiau butų);228.39;159.14;1940.0;2005.0;Nerenovuotas;E;3.0;1.0;0.74;48
125;Gediminopr.;Gyvenamoji (trys ir daugiau butų);1854.01;1678.21;1940.0;2005.0;Nerenovuotas;D;24.0;3.0;0.74;48
126;Gedvydžiųg.;Gyvenamoji (trys ir daugiau butų);4083.11;2417.55;1995.0;;Nerenovuotas;;23.0;21.0;0.0;25
127;GeležinioVilkog.;Gyvenamoji (trys ir daugiau butų);5375.48;0.0;1977.0;;Nerenovuotas;;155.0;1.0;0.0;27
128;GeležinioVilkog.;Gyvenamoji (įvairioms socialinėms grupėms);0.0;4308.58;1987.0;;Nerenovuotas;;106.0;29.0;0.0;3
129;GeležinioVilkog.;Gyvenamoji (trys ir daugiau butų);0.0;0.0;1958.0;;Nerenovuotas;;60.0;0.0;0.0;9
130;Gelvonųg.;Gyvenamoji (trys ir daugiau butų);5493.08;4583.03;1982.0;;Nerenovuotas;;80.0;0.0;0.0;11
131;Gelvonųg.;Gyvenamoji (trys ir daugiau butų);2490.81;2251.03;1981.0;;Nerenovuotas;;36.0;0.0;0.0;21
132;Gelvonųg.;Gyvenamoji (trys ir daugiau butų);2475.7;2247.66;1981.0;;Nerenovuotas;;36.0;0.0;0.0;23
133;Gelvonųg.;Gyvenamoji (trys ir daugiau butų);2514.8;2069.19;1982.0;;Nerenovuotas;;36.0;0.0;0.0;25
134;Gelvonųg.;Gyvenamoji (trys ir daugiau butų);5491.56;4586.22;1980.0;;Nerenovuotas;;80.0;0.0;0.0;50
135;Gelvonųg.;Gyvenamoji (trys ir daugiau butų);2467.83;2056.34;1981.0;;Nerenovuotas;;35.0;0.0;0.0;52
136;Gelvonųg.;Gyvenamoji (trys ir daugiau butų);2476.65;2244.13;1981.0;;Nerenovuotas;;36.0;0.0;0.0;54
137;Gelvonųg.;Gyvenamoji (trys ir daugiau butų);2642.71;2106.23;1981.0;;Nerenovuotas;;40.0;0.0;0.0;58
138;Gelvonųg.;Gyvenamoji (trys ir daugiau butų);0.0;2244.78;1981.0;;Nerenovuotas;;40.0;0.0;0.0;60
139;Gelvonųg.;Gyvenamoji (trys ir daugiau butų);1340.52;1059.7;1982.0;;Nerenovuotas;;20.0;0.0;0.0;9
140;Geniųg.;Gyvenamoji (trys ir daugiau butų);2677.36;2225.61;1980.0;;Nerenovuotas;;40.0;0.0;0.0;16
141;Geniųg.;Gyvenamoji (trys ir daugiau butų);2641.94;0.0;1979.0;;Nerenovuotas;;40.0;0.0;0.0;20
142;Geniųg.;Gyvenamoji (trys ir daugiau butų);4700.78;3936.46;1974.0;;Nerenovuotas;;80.0;0.0;0.0;21
143;Geniųg.;Gyvenamoji (trys ir daugiau butų);0.0;0.0;1975.0;;Nerenovuotas;;80.0;0.0;0.0;23
144;GerosiosViltiesg.;Gyvenamoji (trys ir daugiau butų);5292.77;4420.65;1964.0;;Nerenovuotas;B;101.0;0.0;0.0;20
145;GerosiosViltiesg.;Gyvenamoji (trys ir daugiau butų);5289.39;4422.3;1964.0;;Nerenovuotas;;100.0;0.0;0.0;24
146;GerosiosViltiesg.;Gyvenamoji (trys ir daugiau butų);2243.54;1865.64;1966.0;;Nerenovuotas;;45.0;0.0;0.0;11
147;GerosiosViltiesg.;Gyvenamoji (trys ir daugiau butų);2323.3;1898.23;1964.0;;Nerenovuotas;;48.0;0.0;0.0;3
148;GerosiosViltiesg.;Gyvenamoji (trys ir daugiau butų);2284.53;2284.53;1997.0;;Nerenovuotas;;35.0;0.0;0.0;57
149;Gervėčiųg.;Gyvenamoji (trys ir daugiau butų);1025.09;643.24;1958.0;;Nerenovuotas;;12.0;1.0;0.16;6
150;Giedraičiųg.;Gyvenamoji (trys ir daugiau butų);0.0;536.76;1962.0;;Nerenovuotas;;12.0;1.0;0.0;2
151;Giedraičiųg.;Gyvenamoji (trys ir daugiau butų);2352.5;2136.5;2005.0;;Nerenovuotas;;64.0;1.0;0.0;59
152;Giedraičiųg.;Administracinė;0.0;1367.39;1972.0;;Nerenovuotas;;26.0;41.0;0.0;85
153;Gilužiog.;Gyvenamoji (trys ir daugiau butų);3378.92;2736.03;2005.0;;Nerenovuotas;;48.0;0.0;0.0;4
154;Gilužiog.;Gyvenamoji (trys ir daugiau butų);3172.83;2532.0;2006.0;;Nerenovuotas;;48.0;0.0;0.0;4
155;Gilužiog.;Gyvenamoji (trys ir daugiau butų);1475.76;1186.52;2003.0;;Nerenovuotas;;23.0;0.0;0.0;6
156;Gilužiog.;Gyvenamoji (trys ir daugiau butų);2925.86;2385.26;2004.0;;Nerenovuotas;;45.0;0.0;0.0;6
157;Gilužiog.;Gyvenamoji (trys ir daugiau butų);1486.23;1235.98;2004.0;;Nerenovuotas;;23.0;0.0;0.0;6
158;Gilužiog.;Gyvenamoji (trys ir daugiau butų);3294.4;2594.54;2002.0;;Nerenovuotas;;42.0;0.0;0.0;8
159;Afindevičiųg.m.Kovo11-osiosg.;Gyvenamoji (trys ir daugiau butų);2626.17;0.0;1989.0;;Nerenovuotas;;36.0;0.0;0.0;55
160;Afindevičiųg.m.Kunigiškiųg.;Gyvenamoji (trys ir daugiau butų);1336.69;0.0;2012.0;;Nerenovuotas;B;20.0;2.0;0.4;17
161;Afindevičiųg.m.Šviesosg.;Gyvenamoji (trys ir daugiau butų);2757.45;2281.23;1987.0;;Nerenovuotas;;41.0;0.0;0.0;12
162;Gudųg.;Gyvenamoji (trys ir daugiau butų);925.39;704.02;1940.0;;Nerenovuotas;;12.0;0.0;0.08;4A
163;I.Kantoal.;Gyvenamoji (trys ir daugiau butų);3598.18;3197.31;2005.0;;Nerenovuotas;;54.0;22.0;0.0;23
164;I.Kantoal.;Gyvenamoji (trys ir daugiau butų);2682.34;2446.13;2005.0;;Nerenovuotas;;36.0;13.0;0.0;27
165;IgnoŠimulioniog.;Gyvenamoji (trys ir daugiau butų);1833.68;10767.84;2015.0;;Nerenovuotas;B;148.0;80.0;0.19;5
166;J.Basanavičiausg.;Gyvenamoji (trys ir daugiau butų);3228.89;2931.96;1940.0;;Nerenovuotas;;50.0;4.0;0.0;16
167;J.Basanavičiausg.;Gyvenamoji (trys ir daugiau butų);5050.54;3511.43;1940.0;;Nerenovuotas;;51.0;18.0;0.0;16
168;J.Jasinskiog.;Gyvenamoji (dviejų butų pastatas);1098.71;58.61;1940.0;;Nerenovuotas;;2.0;7.0;0.0;1
169;J.Jasinskiog.;Gyvenamoji (trys ir daugiau butų);792.27;484.53;1940.0;;Nerenovuotas;;6.0;1.0;0.0;4
170;J.Tumo-Vaižgantog.;Gyvenamoji (dviejų butų pastatas);367.21;296.77;1940.0;;Nerenovuotas;;3.0;1.0;0.0;6
171;Jaunimoskg.;Gyvenamoji (įvairioms socialinėms grupėms);0.0;0.0;1971.0;;Nerenovuotas;;131.0;2.0;0.0;2
172;Jeruzalėsg.;Gyvenamoji (trys ir daugiau butų);1588.61;1358.74;1994.0;;Nerenovuotas;C;22.0;0.0;0.0;6
173;Jogailosg.;Gyvenamoji (trys ir daugiau butų);3627.66;2158.32;1940.0;;Nerenovuotas;;28.0;13.0;0.0;7
174;Jonažoliųg.;Gyvenamoji (trys ir daugiau butų);16665.69;10706.86;2008.0;;Nerenovuotas;C;61.0;0.0;0.0;15
175;Jonažoliųg.;Gyvenamoji (trys ir daugiau butų);0.0;5338.1;2003.0;;Nerenovuotas;;62.0;35.0;0.0;4
176;JonoKairiūkščiog.;Gyvenamoji (trys ir daugiau butų);9113.57;4103.77;2008.0;;Nerenovuotas;B;72.0;24.0;0.71;7
177;JonoKairiūkščiog.;Gyvenamoji (trys ir daugiau butų);4362.78;4124.77;2008.0;;Nerenovuotas;B;73.0;0.0;0.71;7A
178;Juodkrantėsg.;Gyvenamoji (trys ir daugiau butų);3036.82;2823.4;2007.0;;Nerenovuotas;;48.0;0.0;0.0;6
179;JurgioMatulaičioa.;Gyvenamoji (trys ir daugiau butų);2975.64;1864.82;2001.0;;Nerenovuotas;;24.0;19.0;0.0;9
180;Justiniškiųg.;Gyvenamoji (trys ir daugiau butų);2062.98;0.0;1977.0;;Nerenovuotas;;30.0;0.0;0.0;35
181;Justiniškiųg.;Gyvenamoji (trys ir daugiau butų);2060.88;1720.25;1976.0;;Nerenovuotas;D;30.0;0.0;0.0;49
182;Justiniškiųg.;Gyvenamoji (trys ir daugiau butų);2068.85;1720.25;1977.0;;Nerenovuotas;;30.0;0.0;0.0;53
183;Justiniškiųg.;Gyvenamoji (trys ir daugiau butų);0.0;0.0;1977.0;;Nerenovuotas;;30.0;0.0;0.0;55
184;Justiniškiųg.;Gyvenamoji (trys ir daugiau butų);0.0;0.0;1977.0;;Nerenovuotas;;30.0;0.0;0.0;57
185;Justiniškiųg.;Gyvenamoji (trys ir daugiau butų);0.0;1720.25;1977.0;;Nerenovuotas;;30.0;0.0;0.0;59
186;Justiniškiųg.;Gyvenamoji (trys ir daugiau butų);0.0;0.0;1977.0;;Nerenovuotas;;30.0;0.0;0.0;61
187;Justiniškiųg.;Gyvenamoji (trys ir daugiau butų);0.0;0.0;1977.0;;Nerenovuotas;;30.0;0.0;0.0;63
188;Justiniškiųg.;Gyvenamoji (trys ir daugiau butų);0.0;0.0;1977.0;;Nerenovuotas;;30.0;0.0;0.0;67
189;Justiniškiųg.;Gyvenamoji (trys ir daugiau butų);0.0;0.0;1977.0;;Nerenovuotas;;60.0;0.0;0.0;69
190;Justiniškiųg.;Gyvenamoji (trys ir daugiau butų);0.0;1719.06;1977.0;;Nerenovuotas;;30.0;0.0;0.0;71
191;Justiniškiųg.;Gyvenamoji (trys ir daugiau butų);0.0;0.0;1977.0;;Nerenovuotas;;72.0;0.0;0.0;73
192;Justiniškiųg.;Gyvenamoji (trys ir daugiau butų);6349.19;5735.11;1974.0;;Nerenovuotas;;108.0;0.0;0.0;75
193;Justiniškiųg.;Gyvenamoji (trys ir daugiau butų);4215.76;3810.08;1978.0;;Nerenovuotas;;72.0;0.0;0.0;77
194;K.K.Donelaičiog.;Gyvenamoji (trys ir daugiau butų);1993.42;1585.96;1965.0;2015.0;Renovuotas;C;16.0;0.0;0.0;14
