year;permanent_residents;permanent_residents_value;median_age;Lytis_Moterys;Lytis_Vyrai;population_density;population_density_measure;population_density_value;useful_area;useful_area_measure;useful_area_value;average_housing;average_housing_measure;average_housing_value;neto_migration;neto_migration_measure;neto_migration_value;unemployment;unemployment_measure;unemployment_value;country;area;district;municipality
2011;Nuolatinių gyventojų skaičius metų pradžioje;25061.0;Medianinis gyventojų amžius metų pradžioje;44.0;38.0;Gyventojų tankis metų pradžioje;viename km²;49.2;Naudingasis plotas, tenkantis vienam gyventojui;m²;29.7;Vidutinis būsto dydis;m²;63.7;Neto migracija;asmenys;-281.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;9.8;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Elektrėnų sav.
2012;Nuolatinių gyventojų skaičius metų pradžioje;24700.0;Medianinis gyventojų amžius metų pradžioje;44.0;38.0;Gyventojų tankis metų pradžioje;viename km²;48.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;30.3;Vidutinis būsto dydis;m²;63.8;Neto migracija;asmenys;-227.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;9.4;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Elektrėnų sav.
2013;Nuolatinių gyventojų skaičius metų pradžioje;24396.0;Medianinis gyventojų amžius metų pradžioje;45.0;39.0;Gyventojų tankis metų pradžioje;viename km²;47.9;Naudingasis plotas, tenkantis vienam gyventojui;m²;30.5;Vidutinis būsto dydis;m²;63.8;Neto migracija;asmenys;-105.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;9.1;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Elektrėnų sav.
2014;Nuolatinių gyventojų skaičius metų pradžioje;24234.0;Medianinis gyventojų amžius metų pradžioje;46.0;39.0;Gyventojų tankis metų pradžioje;viename km²;47.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;31.6;Vidutinis būsto dydis;m²;64.6;Neto migracija;asmenys;6.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;5.8;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Elektrėnų sav.
2015;Nuolatinių gyventojų skaičius metų pradžioje;24164.0;Medianinis gyventojų amžius metų pradžioje;46.0;39.0;Gyventojų tankis metų pradžioje;viename km²;47.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;32.2;Vidutinis būsto dydis;m²;64.9;Neto migracija;asmenys;-146.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;5.0;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Elektrėnų sav.
2016;Nuolatinių gyventojų skaičius metų pradžioje;23959.0;Medianinis gyventojų amžius metų pradžioje;46.0;40.0;Gyventojų tankis metų pradžioje;viename km²;47.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;32.8;Vidutinis būsto dydis;m²;65.2;Neto migracija;asmenys;-92.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;4.8;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Elektrėnų sav.
2017;Nuolatinių gyventojų skaičius metų pradžioje;23770.0;Medianinis gyventojų amžius metų pradžioje;47.0;40.0;Gyventojų tankis metų pradžioje;viename km²;46.7;Naudingasis plotas, tenkantis vienam gyventojui;m²;33.2;Vidutinis būsto dydis;m²;65.5;Neto migracija;asmenys;56.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;4.9;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Elektrėnų sav.
2018;Nuolatinių gyventojų skaičius metų pradžioje;23724.0;Medianinis gyventojų amžius metų pradžioje;47.0;41.0;Gyventojų tankis metų pradžioje;viename km²;46.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;33.4;Vidutinis būsto dydis;m²;65.7;Neto migracija;asmenys;97.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;5.8;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Elektrėnų sav.
2001;Nuolatinių gyventojų skaičius metų pradžioje;39384.0;Medianinis gyventojų amžius metų pradžioje;38.0;33.0;Gyventojų tankis metų pradžioje;viename km²;26.4;Naudingasis plotas, tenkantis vienam gyventojui;m²;24.4;Vidutinis būsto dydis;m²;65.4;Neto migracija;asmenys;-270.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;16.5;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Šalčininkų r. sav.
2002;Nuolatinių gyventojų skaičius metų pradžioje;38903.0;Medianinis gyventojų amžius metų pradžioje;39.0;33.0;Gyventojų tankis metų pradžioje;viename km²;26.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;24.7;Vidutinis būsto dydis;m²;65.4;Neto migracija;asmenys;-81.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;15.7;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Šalčininkų r. sav.
2003;Nuolatinių gyventojų skaičius metų pradžioje;38563.0;Medianinis gyventojų amžius metų pradžioje;39.0;34.0;Gyventojų tankis metų pradžioje;viename km²;25.9;Naudingasis plotas, tenkantis vienam gyventojui;m²;25.1;Vidutinis būsto dydis;m²;65.4;Neto migracija;asmenys;-119.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;13.2;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Šalčininkų r. sav.
2004;Nuolatinių gyventojų skaičius metų pradžioje;38205.0;Medianinis gyventojų amžius metų pradžioje;40.0;34.0;Gyventojų tankis metų pradžioje;viename km²;25.6;Naudingasis plotas, tenkantis vienam gyventojui;m²;25.6;Vidutinis būsto dydis;m²;65.4;Neto migracija;asmenys;-258.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;12.9;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Šalčininkų r. sav.
2005;Nuolatinių gyventojų skaičius metų pradžioje;37727.0;Medianinis gyventojų amžius metų pradžioje;40.0;34.0;Gyventojų tankis metų pradžioje;viename km²;25.3;Naudingasis plotas, tenkantis vienam gyventojui;m²;26.4;Vidutinis būsto dydis;m²;66.1;Neto migracija;asmenys;-436.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;10.4;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Šalčininkų r. sav.
2006;Nuolatinių gyventojų skaičius metų pradžioje;37016.0;Medianinis gyventojų amžius metų pradžioje;40.0;34.0;Gyventojų tankis metų pradžioje;viename km²;24.8;Naudingasis plotas, tenkantis vienam gyventojui;m²;26.6;Vidutinis būsto dydis;m²;66.2;Neto migracija;asmenys;-150.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;6.2;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Šalčininkų r. sav.
2007;Nuolatinių gyventojų skaičius metų pradžioje;36566.0;Medianinis gyventojų amžius metų pradžioje;41.0;35.0;Gyventojų tankis metų pradžioje;viename km²;24.5;Naudingasis plotas, tenkantis vienam gyventojui;m²;27.0;Vidutinis būsto dydis;m²;66.2;Neto migracija;asmenys;-140.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;5.4;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Šalčininkų r. sav.
